,Country,Years,Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Renewable share electricity production,Wind and solar share electricity production%,Electricity generation TWh,Electricity generation from other TWh,Renewable Energy Geothermal (Installed capacity)MW,Renewable Energy Solar (Installed capacity) MW,Renewable Energy Wind  (Installed capacity) MW,Primary Energy: Consumption EJ,Renewables:Consumption EJ,WEB Services Energy Indicators indexed,Renewable installed PV Power GW,Renewable installed Wind Power GW
0,China,2000,30187188.73,1355738,10.23305051,16.63949819,29.73071484,16.64,0.06,1355.6,0.0036872,21.7,33.515,341.0,42.45316142,0.03148899,,0.0,0.35200000000000004
1,China,2001,30940867.04,1480949,9.833583306,18.95851917,28.45581538,18.96,0.06,1480.802,0.0023076,21.7,38.02,383.0,44.8419766,0.033017858,,0.0,0.406
2,China,2002,32272543.97,1654164,9.621842057,17.6186279,27.09820152,17.62,0.06,1654.0,0.0061278,21.7,56.53,449.0,48.84460713,0.035471174,,0.0,0.473
3,China,2003,35505254.39,1910755,9.994209983,15.03704033,23.94657959,15.04,0.06,1910.575,0.0078946,21.7,66.6,547.0,56.87522175,0.041101403,,0.0,0.568
4,China,2004,41469975.08,2203502,10.35599738,16.22326642,20.24947926,16.22,0.07,2203.31,0.0,21.7,76.6,763.0,66.54571613,0.057830428,,0.0,0.764
5,China,2005,45785223.21,2500466,10.28130878,16.17502498,18.20381865,16.18,0.09,2500.26,0.0,21.7,141.2,1060.0,75.60172011,0.101235495,,0.0,1.26
6,China,2006,49175114.02,2865954,9.974489413,15.59278342,17.09461008,15.59,0.14,2865.726,0.0,21.7,160.2,2070.0,82.8805339,0.14308933599999998,,0.08,2.604
7,China,2007,52829271.79,3281790,9.446755652,15.26334714,15.34937114,15.26,0.18,3281.553,0.0,21.7,199.0,4200.0,90.08781938,0.196720162,,0.1,5.9060000000000015
8,China,2008,54691192.12,3467185,8.888790121,17.73744406,14.60199657,17.74,0.44,3495.76,0.0,24.8,253.0,8387.728000000001,93.44496937,0.326148086,,0.14,12.21
9,China,2009,56930962.32,3715061,8.693872841,17.8637982,13.91196227,17.86,0.74,3714.651,0.0,24.8,414.8,17599.408,97.52314741,0.524562932,,0.3,25.805
10,China,2010,61093297.29,4197204,8.679178537,18.62282605,12.88431031,18.83,1.08,4207.16,19.85186,24.1,1021.8,29633.478,104.2840024,0.768616625,,0.8,42.287
11,China,2011,65459079.1,4704861,8.502319501,16.76177043,11.69579699,16.95,1.55,4713.019,21.669,26.2,3107.8,46354.6,112.54080829999998,1.049599256,,3.3,62.733
12,China,2012,67426526.34,4984731,8.190299441,19.96624894,11.96856703,20.12,2.05,4987.553,20.27989,26.2,6718.8,61596.873,117.04535020000002,1.356393533,,7.0,75.324
13,China,2013,69906541.02,5436567,7.851333803,20.29622738,11.8381669,20.45,2.88,5431.635,22.9827266,26.0,17758.8,76730.53,121.37465690000002,1.795909085,,19.72,91.412
14,China,2014,71536310.66,5665745,7.104220001,22.60915378,12.22382301,22.79,3.27,5794.4569999999985,26.14633,25.95,28398.8,96819.13,124.1979329,2.238405372,,30.38,114.763
15,China,2015,73183146.53,5844158,6.690069702,23.92681717,12.41335257,24.13,3.94,5814.573,26.783590000000004,25.75,43548.8,131047.73,125.3768906,2.623551642,,43.53,145.36
16,China,2016,..,..,..,..,..,25.4,5.18,6133.16,42.1935,25.75,77808.8,148516.89,126.9507368,3.4396675560000003,,78.1,168.69
17,Germany,2000,8638440.514,572313,4.635294282,6.198531223,3.70043759,6.89,1.63,576.556,21.27425,0.0,114.0,6095.0,14.30741212,0.152289349,100.0,0.08900000000000001,6.113
18,Germany,2001,8812552.193,581886,4.694756909,6.512444018,3.89967279,7.23,1.8,586.4115,21.2795,0.0,195.0,8754.0,14.56011357,0.169913448,,0.206,8.734
19,Germany,2002,8671255.271,581954,4.589391211,7.642700282,4.412636787,8.39,2.73,586.688,18.62625,0.0,260.0,12001.0,14.36718806,0.237470027,,0.324,12.001
20,Germany,2003,8839115.931,603603,4.59786268,7.552977702,5.058467425,8.34,3.47,608.78,20.306,0.0,435.0,14381.0,14.3533407,0.302466917,,0.473,14.609000000000002
21,Germany,2004,8763328.404,611105,4.576951194,9.267474493,5.825244433,10.2,4.56,617.4652,21.2268,0.2,1105.0,16419.0,14.33946814,0.395023944,,1.139,16.629
22,Germany,2005,8626259.145,615800,4.511465998,10.15021111,6.764551009,11.13,5.1,622.575,24.1468,0.2,2056.0,18248.0,14.1659172,0.48722748,97.0,2.072,18.428
23,Germany,2006,8820320.967,632732,4.47122845,11.32201311,7.753224656,12.26,5.74,639.5665,25.4006,0.2,2899.0,20474.0,14.51322843,0.612064345,,2.918,20.622
24,Germany,2007,8247962.045,633663,4.099191676,13.93800806,9.406587903,14.87,7.05,640.578,26.5586,3.0,4170.0,22116.0,13.89002168,0.7729506759999999,,4.195,22.247
25,Germany,2008,8551613.944,634380,4.099406678,14.6992339,8.592248257,15.5,7.37,640.686,24.7124,3.0,6120.0,22794.0,14.02825473,0.80695724,,6.153,23.902
26,Germany,2009,8118725.87,589966,4.068098366,16.07855368,9.63006157,16.87,7.95,595.624,21.1252,8.0,10567.0,25732.0,13.15429711,0.833846835,,9.959,25.777
27,Germany,2010,8638160.04,626583,4.115335557,16.72707367,10.29351964,17.57,8.19,633.0930000000002,26.4293,8.0,18007.0,26903.0,13.70618966,0.905880564,91.0,17.37,27.214
28,Germany,2011,8211583.065,607228,3.773036713,20.38328272,11.39435591,21.14,11.55,613.070326,25.3062,8.0,25917.0,28712.0,13.20216248,1.112391585,,24.86,29.06
