,Country,Years,Asset investment in renewables
0,China,2004,1.55
1,China,2005,2.2125
2,China,2006,2.375
3,China,2007,2.9499999999999997
4,China,2008,4.0625
5,China,2009,5.2375
6,China,2010,5.625
7,China,2011,6.2375
8,China,2012,8.125
9,China,2013,8.899999999999999
10,China,2014,12.087499999999999
11,China,2015,15.999999999999998
12,China,2016,13.924999999999999
13,China,2017,19.1625
14,China,2018,12.7875
15,Germany,2004,2.3625
16,Germany,2005,2.575
17,Germany,2006,2.6375
18,Germany,2007,3.0875
19,Germany,2008,3.3375
20,Germany,2009,4.45
21,Germany,2010,5.8875
22,Germany,2011,5.6625
23,Germany,2012,4.5375
24,Germany,2013,2.925
25,Germany,2014,3.5875
26,Germany,2015,3.0
27,Germany,2016,3.0625
28,Germany,2017,2.975
29,Germany,2018,2.0374999999999996
30,India,2004,1.5875
31,India,2005,1.6
32,India,2006,1.825
33,India,2007,1.9249999999999998
34,India,2008,1.9
35,India,2009,1.75
36,India,2010,2.05
37,India,2011,2.6500000000000004
38,India,2012,2.0625
39,India,2013,1.825
40,India,2014,2.0124999999999997
41,India,2015,2.1875
42,India,2016,2.8625
43,India,2017,2.9375
44,India,2018,2.625
45,United States,2004,1.8499999999999999
46,United States,2005,2.4
47,United States,2006,4.199999999999999
48,United States,2007,4.5249999999999995
49,United States,2008,4.5625
50,United States,2009,3.1375
51,United States,2010,4.65
52,United States,2011,6.9125000000000005
53,United States,2012,5.625000000000001
54,United States,2013,4.8875
55,United States,2014,5.2125
56,United States,2015,5.925000000000001
57,United States,2016,6.375
58,United States,2017,6.9875
59,United States,2018,6.612500000000001
