,Country,Years,Electricity Consumption
0,China,2000.0,1138.0
1,China,2001.0,1241.0
2,China,2002.0,1380.0
3,China,2003.0,1605.0
4,China,2004.0,1859.0
5,China,2005.0,2126.0
6,China,2006.0,2446.0
7,China,2007.0,2817.0
8,China,2008.0,2989.0
9,China,2009.0,3223.0
10,China,2010.0,3626.0
11,China,2011.0,4052.0
12,China,2012.0,4326.0
13,China,2013.0,4718.0
14,China,2014.0,4939.0
15,China,2015.0,5104.0
16,China,2016.0,5367.0
17,China,2017.0,5683.0
18,Germany,2000.0,501.0
19,Germany,2001.0,513.0
20,Germany,2002.0,526.0
21,Germany,2003.0,531.0
22,Germany,2004.0,538.0
23,Germany,2005.0,539.0
24,Germany,2006.0,544.0
25,Germany,2007.0,545.0
26,Germany,2008.0,543.0
27,Germany,2009.0,514.0
28,Germany,2010.0,547.0
29,Germany,2011.0,541.0
30,Germany,2012.0,540.0
31,Germany,2013.0,537.0
32,Germany,2014.0,526.0
33,Germany,2015.0,528.0
34,Germany,2016.0,528.0
35,Germany,2017.0,531.0
36,India,2000.0,376.0
37,India,2001.0,382.0
38,India,2002.0,406.0
39,India,2003.0,433.0
40,India,2004.0,463.0
41,India,2005.0,489.0
42,India,2006.0,543.0
43,India,2007.0,588.0
44,India,2008.0,619.0
45,India,2009.0,669.0
46,India,2010.0,727.0
47,India,2011.0,803.0
48,India,2012.0,839.0
49,India,2013.0,890.0
50,India,2014.0,963.0
51,India,2015.0,1032.0
52,India,2016.0,1098.0
53,India,2017.0,1156.0
54,United States,2000.0,3590.0
55,United States,2001.0,3554.0
56,United States,2002.0,3632.0
57,United States,2003.0,3662.0
58,United States,2004.0,3716.0
59,United States,2005.0,3811.0
60,United States,2006.0,3818.0
61,United States,2007.0,3922.0
62,United States,2008.0,3907.0
63,United States,2009.0,3725.0
64,United States,2010.0,3894.0
65,United States,2011.0,3885.0
66,United States,2012.0,3831.0
67,United States,2013.0,3873.0
68,United States,2014.0,3894.0
69,United States,2015.0,3895.0
70,United States,2016.0,3890.0
71,United States,2017.0,3808.0
