,Years,Country,Electricity generation
0,2000.0,US,4052.253106
1,2000.0,Germany,576.556
2,2000.0,China,1355.6
3,2000.0,India,571.3939361
4,2001.0,US,3984.46789
5,2001.0,Germany,586.4115
6,2001.0,China,1480.8020000000001
7,2001.0,India,586.0927383999999
8,2002.0,US,4111.775538
9,2002.0,Germany,586.688
10,2002.0,China,1654.0
11,2002.0,India,609.6504786
12,2003.0,US,4137.978842
13,2003.0,Germany,608.78
14,2003.0,China,1910.575
15,2003.0,India,638.1310102000001
16,2004.0,US,4231.682747
17,2004.0,Germany,617.4652
18,2004.0,China,2203.31
19,2004.0,India,698.300975
20,2005.0,US,4322.786632
21,2005.0,Germany,622.575
22,2005.0,China,2500.26
23,2005.0,India,704.5093182
24,2006.0,US,4330.951641
25,2006.0,Germany,639.5665
26,2006.0,China,2865.7259999999997
27,2006.0,India,744.4262522999999
28,2007.0,US,4431.837021
29,2007.0,Germany,640.578
30,2007.0,China,3281.553
31,2007.0,India,796.265175
32,2008.0,US,4390.106117
33,2008.0,Germany,640.686
34,2008.0,China,3495.76
35,2008.0,India,828.4135525
36,2009.0,US,4206.493361
37,2009.0,Germany,595.624
38,2009.0,China,3714.651
39,2009.0,India,879.70725
40,2010.0,US,4394.250985000001
41,2010.0,Germany,633.0930000000001
42,2010.0,China,4207.16
43,2010.0,India,937.4680375
44,2011.0,US,4363.377155
45,2011.0,Germany,613.070326
46,2011.0,China,4713.019
47,2011.0,India,1034.011325
48,2012.0,US,4310.569202000001
49,2012.0,Germany,630.149
50,2012.0,China,4987.553
51,2012.0,India,1091.837883
52,2013.0,US,4330.292888
53,2013.0,Germany,638.73
54,2013.0,China,5431.635
55,2013.0,India,1146.139133
56,2014.0,US,4363.3264070000005
57,2014.0,Germany,627.7651017999999
58,2014.0,China,5794.456999999999
59,2014.0,India,1262.2199679999999
60,2015.0,US,4348.66944
61,2015.0,Germany,648.1492806
62,2015.0,China,5814.573
63,2015.0,India,1317.2981300000001
64,2016.0,US,4347.910814
65,2016.0,Germany,650.707344
66,2016.0,China,6133.16
67,2016.0,India,1401.741765
68,2017.0,US,4302.539017
69,2017.0,Germany,653.6547
70,2017.0,China,6604.446999999999
71,2017.0,India,1473.759284
72,2018.0,US,4457.415464
73,2018.0,Germany,643.45
74,2018.0,China,7166.133000000001
75,2018.0,India,1551.4415
