,Years,Country,Renewable Energy Geothermal (Installed capacity)
0,2000.0,US,2793.0
1,2000.0,Germany,0.0
2,2000.0,China,21.7
3,2001.0,US,2216.0
4,2001.0,Germany,-2793.0
5,2001.0,China,21.7
6,2002.0,US,2230.3
7,2002.0,Germany,-2216.0
8,2002.0,China,21.7
9,2003.0,US,2111.3
10,2003.0,Germany,-2252.0
11,2003.0,China,21.7
12,2004.0,US,2130.3
13,2004.0,Germany,-2132.8
14,2004.0,China,21.7
15,2005.0,US,2263.3
16,2005.0,Germany,-2151.8
17,2005.0,China,21.5
18,2006.0,US,2252.3
19,2006.0,Germany,-2284.8
20,2006.0,China,21.5
21,2007.0,US,2192.3
22,2007.0,Germany,-2271.0
23,2007.0,China,21.5
24,2008.0,US,2207.3
25,2008.0,Germany,-2211.0
26,2008.0,China,21.8
27,2009.0,US,2360.3
28,2009.0,Germany,-2221.0
29,2009.0,China,21.8
30,2010.0,US,2380.2
31,2010.0,Germany,-2374.0
32,2010.0,China,16.1
33,2011.0,US,2384.2
34,2011.0,Germany,-2397.0
35,2011.0,China,18.2
36,2012.0,US,2567.9
37,2012.0,Germany,-2397.0
38,2012.0,China,18.2
39,2013.0,US,2580.8
40,2013.0,Germany,-2568.0
41,2013.0,China,14.0
42,2014.0,US,2487.8
43,2014.0,Germany,-2578.0
44,2014.0,China,1.9499999999999993
45,2015.0,US,2516.0
46,2015.0,Germany,-2485.0
47,2015.0,China,-3.25
48,2016.0,US,2491.05
49,2016.0,Germany,-2509.0
50,2016.0,China,-3.25
51,2017.0,US,2457.25
52,2017.0,Germany,-2485.0
53,2017.0,China,-7.25
54,2018.0,US,2514.75
55,2018.0,Germany,-2447.0
56,2018.0,China,-6.25
