,Country,Years,Renewable share electricity production
0,China,2000.0,16.64
1,China,2001.0,18.96
2,China,2002.0,17.62
3,China,2003.0,15.04
4,China,2004.0,16.22
5,China,2005.0,16.18
6,China,2006.0,15.59
7,China,2007.0,15.26
8,China,2008.0,17.74
9,China,2009.0,17.86
10,China,2010.0,18.83
11,China,2011.0,16.95
12,China,2012.0,20.12
13,China,2013.0,20.45
14,China,2014.0,22.79
15,China,2015.0,24.13
16,China,2016.0,25.4
17,China,2017.0,25.97
18,Germany,2000.0,6.89
19,Germany,2001.0,7.23
20,Germany,2002.0,8.39
21,Germany,2003.0,8.34
22,Germany,2004.0,10.2
23,Germany,2005.0,11.13
24,Germany,2006.0,12.26
25,Germany,2007.0,14.87
26,Germany,2008.0,15.5
27,Germany,2009.0,16.87
28,Germany,2010.0,17.57
29,Germany,2011.0,21.14
30,Germany,2012.0,23.75
31,Germany,2013.0,24.76
32,Germany,2014.0,26.82
33,Germany,2015.0,29.88
34,Germany,2016.0,30.02
35,Germany,2017.0,33.98
36,India,2000.0,13.59
37,India,2001.0,13.21
38,India,2002.0,12.06
39,India,2003.0,13.47
40,India,2004.0,14.48
41,India,2005.0,16.62
42,India,2006.0,17.54
43,India,2007.0,17.86
44,India,2008.0,16.51
45,India,2009.0,15.66
46,India,2010.0,16.04
47,India,2011.0,17.32
48,India,2012.0,15.73
49,India,2013.0,17.35
50,India,2014.0,16.25
51,India,2015.0,15.34
52,India,2016.0,15.49
53,India,2017.0,16.29
54,United States,2000.0,8.81
55,United States,2001.0,7.42
56,United States,2002.0,9.2
57,United States,2003.0,9.49
58,United States,2004.0,9.22
59,United States,2005.0,9.12
60,United States,2006.0,9.79
61,United States,2007.0,8.91
62,United States,2008.0,9.53
63,United States,2009.0,10.78
64,United States,2010.0,10.61
65,United States,2011.0,12.69
66,United States,2012.0,12.41
67,United States,2013.0,13.03
68,United States,2014.0,13.36
69,United States,2015.0,13.63
70,United States,2016.0,15.42
71,United States,2017.0,17.66
