,Country,Years,Wind and solar share electricity production
0,China,2000.0,0.06
1,China,2001.0,0.06
2,China,2002.0,0.06
3,China,2003.0,0.06
4,China,2004.0,0.07
5,China,2005.0,0.09
6,China,2006.0,0.14
7,China,2007.0,0.18
8,China,2008.0,0.44
9,China,2009.0,0.74
10,China,2010.0,1.08
11,China,2011.0,1.55
12,China,2012.0,2.05
13,China,2013.0,2.88
14,China,2014.0,3.27
15,China,2015.0,3.94
16,China,2016.0,5.18
17,China,2017.0,6.77
18,Germany,2000.0,1.63
19,Germany,2001.0,1.8
20,Germany,2002.0,2.73
21,Germany,2003.0,3.47
22,Germany,2004.0,4.56
23,Germany,2005.0,5.1
24,Germany,2006.0,5.74
25,Germany,2007.0,7.05
26,Germany,2008.0,7.37
27,Germany,2009.0,7.95
28,Germany,2010.0,8.19
29,Germany,2011.0,11.55
30,Germany,2012.0,12.56
31,Germany,2013.0,13.24
32,Germany,2014.0,15.22
33,Germany,2015.0,18.53
34,Germany,2016.0,18.16
35,Germany,2017.0,22.25
36,India,2000.0,0.3
37,India,2001.0,0.38
38,India,2002.0,0.44
39,India,2003.0,0.55
40,India,2004.0,0.66
41,India,2005.0,0.87
42,India,2006.0,1.26
43,India,2007.0,1.44
44,India,2008.0,1.65
45,India,2009.0,2.06
46,India,2010.0,2.02
47,India,2011.0,2.36
48,India,2012.0,2.87
49,India,2013.0,3.07
50,India,2014.0,3.27
51,India,2015.0,3.5
52,India,2016.0,4.12
53,India,2017.0,5.11
54,United States,2000.0,0.52
55,United States,2001.0,0.56
56,United States,2002.0,0.66
57,United States,2003.0,0.69
58,United States,2004.0,0.75
59,United States,2005.0,0.85
60,United States,2006.0,1.06
61,United States,2007.0,1.25
62,United States,2008.0,1.73
63,United States,2009.0,2.25
64,United States,2010.0,2.75
65,United States,2011.0,3.43
66,United States,2012.0,4.06
67,United States,2013.0,4.84
68,United States,2014.0,5.34
69,United States,2015.0,5.86
70,United States,2016.0,7.07
71,United States,2017.0,8.41
