,Country,Year,variable,Total final energy consumption (TFEC),Wind and solar share electricity production,Asset investment in renewables,Renewable Energy Wind  (Installed capacity),Energy intensity-primary energy,Renewable installed PV Power,Electricity Production,Primary Energy-Consumption,Renewable installed Wind Power,Renewable Energy Solar (Installed capacity),Renewables-Consumption,Electricity Consumption,Electricity generation from other,Renewable share electricity output,Renewable share electricity production,Electricity generation,Renewable share energy of TFEC,Total electricity output
0,China,2004.0,Total final energy consumption (TFEC),41469975.08,0.07,1.55,216.0,10.35599738,0.0,2204.0,66.54571613,0.19600000000000006,10.0,0.057830428,1859.0,0.0,16.22326642,16.22,2203.31,20.24947926,2203502.0
1,China,2005.0,Total final energy consumption (TFEC),45785223.21,0.09,2.2125,297.0,10.28130878,0.0,2500.0,75.60172011,0.496,64.6,0.101235495,2126.0,0.0,16.17502498,16.18,2500.26,18.20381865,2500466.0
2,China,2006.0,Total final energy consumption (TFEC),49175114.02,0.14,2.375,1010.0,9.974489412999999,0.08,2866.0,82.8805339,1.3439999999999996,19.0,0.14308933599999998,2446.0,0.0,15.59278342,15.59,2865.726,17.09461008,2865954.0
3,China,2007.0,Total final energy consumption (TFEC),52829271.79,0.18,2.95,2130.0,9.446755652,0.020000000000000004,3282.0,90.08781938,3.3020000000000014,38.80000000000001,0.196720162,2817.0,0.0,15.26334714,15.26,3281.553,15.34937114,3281790.0
4,China,2008.0,Total final energy consumption (TFEC),54691192.12,0.44,4.0625,4187.728000000001,8.888790121,0.040000000000000015,3467.0,93.44496937,6.303999999999999,54.0,0.326148086,2989.0,0.0,17.73744406,17.74,3495.76,14.60199657,3467185.0
5,China,2009.0,Total final energy consumption (TFEC),56930962.32,0.74,5.2375,9211.679999999997,8.693872841000001,0.15999999999999998,3715.0,97.52314741,13.595,161.8,0.524562932,3223.0,0.0,17.863798199999994,17.86,3714.651,13.91196227,3715061.0
6,China,2010.0,Total final energy consumption (TFEC),61093297.29,1.08,5.625,12034.07,8.679178537,0.5,4208.0,104.2840024,16.482,607.0,0.768616625,3626.0,19.85186,18.62282605,18.83,4207.16,12.88431031,4197204.0
7,China,2011.0,Total final energy consumption (TFEC),65459079.1,1.55,6.2375,16721.122,8.502319501,2.5,4716.0,112.54080829999998,20.446000000000005,2086.0,1.049599256,4052.0,21.669,16.76177043,16.95,4713.019,11.69579699,4704861.0
8,China,2012.0,Total final energy consumption (TFEC),67426526.34,2.05,8.125,15242.273,8.190299441,3.7,4994.0,117.04535020000002,12.590999999999996,3611.0,1.356393533,4326.0,20.27989,19.96624894,20.12,4987.553,11.96856703,4984731.0
9,China,2013.0,Total final energy consumption (TFEC),69906541.02,2.88,8.899999999999997,15133.657,7.851333802999999,12.72,5447.0,121.37465690000002,16.088000000000008,11040.0,1.795909085,4718.0,22.9827266,20.29622738,20.45,5431.635,11.8381669,5436567.0
10,China,2014.0,Total final energy consumption (TFEC),71536310.66,3.27,12.0875,20088.600000000006,7.104220001,10.66,5679.0,124.1979329,23.350999999999985,10640.0,2.238405372,4939.0,26.14633,22.60915378,22.79,5794.4569999999985,12.22382301,5665745.0
11,China,2015.0,Total final energy consumption (TFEC),73183146.53,3.94,15.999999999999998,34228.599999999984,6.690069702000001,13.150000000000002,5860.0,125.3768906,30.597000000000023,15150.000000000005,2.623551642,5104.0,26.783590000000004,23.92681717,24.13,5814.573,12.41335257,5844158.0
12,China,2016.0,Total final energy consumption (TFEC),73183146.53,5.18,13.925,17469.160000000018,6.690069702000001,34.56999999999999,6165.0,126.9507368,23.329999999999984,34260.0,3.4396675560000003,5367.0,42.1935,23.92681717,25.4,6133.16,12.41335257,5844158.0
13,Germany,2004.0,Total final energy consumption (TFEC),8763328.404,4.56,2.3625,2038.0,4.576951193999999,0.6659999999999999,617.0,14.33946814,2.02,670.0,0.395023944,538.0,21.2268,9.267474493,10.2,617.4652,5.825244433,611105.0
14,Germany,2005.0,Total final energy consumption (TFEC),8626259.145,5.1,2.575,1829.0,4.511465998,0.9329999999999999,623.0,14.1659172,1.7989999999999997,951.0,0.48722748,539.0,24.1468,10.15021111,11.13,622.575,6.764551009,615800.0
15,Germany,2006.0,Total final energy consumption (TFEC),8820320.967,5.74,2.6375,2226.0,4.47122845,0.8460000000000001,639.0,14.51322843,2.193999999999999,843.0,0.612064345,544.0,25.4006,11.32201311,12.26,639.5665,7.753224656,632732.0
16,Germany,2007.0,Total final energy consumption (TFEC),8247962.045,7.05,3.0875,1642.0,4.099191676,1.277,641.0,13.89002168,1.625,1271.0,0.7729506759999999,545.0,26.5586,13.93800806,14.87,640.578,9.406587903,633663.0
17,Germany,2008.0,Total final energy consumption (TFEC),8551613.944,7.37,3.3375,678.0,4.099406678,1.9579999999999995,640.0,14.02825473,1.6549999999999976,1950.0,0.80695724,543.0,24.7124,14.6992339,15.5,640.686,8.592248257,634380.0
18,Germany,2009.0,Total final energy consumption (TFEC),8118725.87,7.95,4.45,2938.0,4.068098366,3.806,596.0,13.15429711,1.875,4447.0,0.833846835,514.0,21.1252,16.07855368,16.87,595.624,9.63006157,589966.0
19,Germany,2010.0,Total final energy consumption (TFEC),8638160.04,8.19,5.8875,1171.0,4.115335557,7.411000000000001,633.0,13.70618966,1.4370000000000047,7440.0,0.905880564,547.0,26.4293,16.72707367,17.57,633.0930000000002,10.29351964,626583.0
20,Germany,2011.0,Total final energy consumption (TFEC),8211583.065,11.55,5.6625,1809.0,3.773036713,7.4899999999999975,613.0,13.20216248,1.8459999999999963,7910.0,1.112391585,541.0,25.3062,20.38328272,21.14,613.070326,11.39435591,607228.0
21,Germany,2012.0,Total final energy consumption (TFEC),8300447.226,12.56,4.5375,2267.0,3.771810715,7.600000000000001,630.0,13.36885139,2.210000000000001,8160.0,1.252520955,540.0,26.1096,23.00045854,23.75,630.149,12.01513573,623718.0
22,Germany,2013.0,Total final energy consumption (TFEC),8524131.747000001,13.24,2.925,2498.0,3.831755977,3.3100000000000023,639.0,13.74595931,2.9800000000000004,2634.0,1.306625139,537.0,26.18,24.07254975,24.76,638.73,12.08907875,632945.0
23,Germany,2014.0,Total final energy consumption (TFEC),8130876.006,15.22,3.5875,5137.0,3.640399424,2.479999999999997,628.0,13.16627917,4.914999999999999,1189.0,1.429576037,526.0,26.913,26.13009657,26.82,627.7651017999998,13.37887823,621938.0
24,Germany,2015.0,Total final energy consumption (TFEC),8327614.785,18.53,3.0,5966.0,3.603094155,1.4600000000000009,647.0,13.39985761,5.7760000000000025,1324.0,1.659035721,528.0,27.13520869,29.23177012,29.88,648.1492806,14.2062527,640967.0
25,Germany,2016.0,Total final energy consumption (TFEC),8327614.785,18.16,3.0625,4855.0,3.603094155,0.9900000000000021,648.0,13.61972299,5.076999999999998,1455.0,1.643934157,528.0,27.543000000000006,29.23177012,30.02,650.707344,14.2062527,640967.0
26,India,2004.0,Total final energy consumption (TFEC),13273593.71,0.66,1.5875,875.0,6.181107871,0.0,684.0,15.6296614,0.8900000000000001,1.2000000000000002,0.084781101,463.0,0.0,14.4825005,14.48,698.300975,49.72402461,683991.0
27,India,2005.0,Total final energy consumption (TFEC),13900527.19,0.87,1.6,1433.8999999999994,5.877519466,0.0,716.0,16.56290826,1.4299999999999995,-0.10000000000000052,0.098864125,489.0,0.0,16.61901808,16.62,704.5093182,48.57530875,715656.0
28,India,2006.0,Total final energy consumption (TFEC),14552475.55,1.26,1.825,1881.1000000000006,5.661849048,0.0,774.0,17.41017417,1.84,3.8,0.145510226,543.0,0.0,17.54042472,17.54,744.4262522999999,47.44372171,773784.0
29,India,2007.0,Total final energy consumption (TFEC),15352261.19,1.44,1.925,1529.5,5.507649299,0.0,824.0,18.92910864,1.5750000000000002,-2.0,0.184961844,588.0,0.0,17.86408569,17.86,796.265175,45.86780352,823563.0
30,India,2008.0,Total final energy consumption (TFEC),16342885.25,1.65,1.9,2398.0,5.56214241,0.0,848.0,20.00481722,1.81,15.500000000000002,0.228126107,619.0,0.0,16.50983374,16.51,828.4135525,43.63288301,848355.0
31,India,2009.0,Total final energy consumption (TFEC),17750414.76,2.06,1.75,682.5,5.6467119320000005,0.0,917.0,21.52434691,1.270999999999999,2.599999999999998,0.265121017,669.0,0.0,15.66005525,15.66,879.70725,40.77082759,917302.0
32,India,2010.0,Total final energy consumption (TFEC),18684425.28,2.02,2.05,2259.0,5.353179242,0.0,979.0,22.55470758,2.1390000000000007,11.7,0.31827361,727.0,0.0,16.04374444,16.04,937.4680375,39.48150873,979416.0
33,India,2011.0,Total final energy consumption (TFEC),19401668.04,2.36,2.6500000000000004,2995.0,5.232985711,0.0,1075.0,23.88045003,3.0189999999999997,26.00000000000001,0.393995542,803.0,0.0,17.31696286,17.32,1034.011325,38.93174021,1074536.0
34,India,2012.0,Total final energy consumption (TFEC),19869435.09,2.87,2.0625,1120.7000000000007,5.199643316,0.0,1123.0,25.11341421,2.337,500.4,0.460993993,839.0,0.0,15.73297336,15.73,1091.837883,38.39089015,1123049.0
35,India,2013.0,Total final energy consumption (TFEC),20586036.18,3.07,1.825,1120.7000000000007,4.98862544,0.0,1191.0,26.0769452,1.7289999999999992,360.2000000000001,0.518092339,890.0,0.0,17.34931383,17.35,1146.139133,37.84984118,1193480.0
