,Country,Years,Electricity Consumption TWh
0,Germany,2000,501
1,United States,2000,3590
2,China,2000,1138
3,India,2000,376
4,Germany,2001,513
5,United States,2001,3554
6,China,2001,1241
7,India,2001,382
8,Germany,2002,526
9,United States,2002,3632
10,China,2002,1380
11,India,2002,406
12,Germany,2003,531
13,United States,2003,3662
14,China,2003,1605
15,India,2003,433
16,Germany,2004,538
17,United States,2004,3716
18,China,2004,1859
19,India,2004,463
20,Germany,2005,539
21,United States,2005,3811
22,China,2005,2126
23,India,2005,489
24,Germany,2006,544
25,United States,2006,3818
26,China,2006,2446
27,India,2006,543
28,Germany,2007,545
29,United States,2007,3922
30,China,2007,2817
31,India,2007,588
32,Germany,2008,543
33,United States,2008,3907
34,China,2008,2989
35,India,2008,619
36,Germany,2009,514
37,United States,2009,3725
38,China,2009,3223
39,India,2009,669
40,Germany,2010,547
41,United States,2010,3894
42,China,2010,3626
43,India,2010,727
44,Germany,2011,541
45,United States,2011,3885
46,China,2011,4052
47,India,2011,803
48,Germany,2012,540
49,United States,2012,3831
50,China,2012,4326
51,India,2012,839
52,Germany,2013,537
53,United States,2013,3873
54,China,2013,4718
55,India,2013,890
56,Germany,2014,526
57,United States,2014,3894
58,China,2014,4939
59,India,2014,963
60,Germany,2015,528
61,United States,2015,3895
62,China,2015,5104
63,India,2015,1032
64,Germany,2016,528
65,United States,2016,3890
66,China,2016,5367
67,India,2016,1098
68,Germany,2017,531
69,United States,2017,3808
70,China,2017,5683
71,India,2017,1156
