,Country,Years,Electricity Production TWh
0,Germany,2000,577
1,United States,2000,4053
2,China,2000,1356
3,India,2000,570
4,Germany,2001,586
5,United States,2001,3865
6,China,2001,1481
7,India,2001,588
8,Germany,2002,587
9,United States,2002,4051
10,China,2002,1654
11,India,2002,611
12,Germany,2003,609
13,United States,2003,4082
14,China,2003,1911
15,India,2003,651
16,Germany,2004,617
17,United States,2004,4175
18,China,2004,2204
19,India,2004,684
20,Germany,2005,623
21,United States,2005,4294
22,China,2005,2500
23,India,2005,716
24,Germany,2006,639
25,United States,2006,4301
26,China,2006,2866
27,India,2006,774
28,Germany,2007,641
29,United States,2007,4350
30,China,2007,3282
31,India,2007,824
32,Germany,2008,640
33,United States,2008,4368
34,China,2008,3467
35,India,2008,848
36,Germany,2009,596
37,United States,2009,4188
38,China,2009,3715
39,India,2009,917
40,Germany,2010,633
41,United States,2010,4378
42,China,2010,4208
43,India,2010,979
44,Germany,2011,613
45,United States,2011,4349
46,China,2011,4716
47,India,2011,1075
48,Germany,2012,630
49,United States,2012,4291
50,China,2012,4994
51,India,2012,1123
52,Germany,2013,639
53,United States,2013,4306
54,China,2013,5447
55,India,2013,1191
56,Germany,2014,628
57,United States,2014,4339
58,China,2014,5679
59,India,2014,1294
60,Germany,2015,647
61,United States,2015,4317
62,China,2015,5860
63,India,2015,1383
64,Germany,2016,648
65,United States,2016,4316
66,China,2016,6165
67,India,2016,1463
68,Germany,2017,653
69,United States,2017,4251
70,China,2017,6529
71,India,2017,1541
