,Country,Years,Renewable Energy Solar (Installed capacity) MW
0,United States,2000,18.5
1,Germany,2000,114.0
2,China,2000,33.515
3,India,2000,0.0
4,United States,2001,21.9
5,Germany,2001,195.0
6,China,2001,38.02
7,India,2001,1.1
8,United States,2002,28.0
9,Germany,2002,260.0
10,China,2002,56.53
11,India,2002,5.5
12,United States,2003,73.0
13,Germany,2003,435.0
14,China,2003,66.6
15,India,2003,6.7
16,United States,2004,111.0
17,Germany,2004,1105.0
18,China,2004,76.6
19,India,2004,7.9
20,United States,2005,190.0
21,Germany,2005,2056.0
22,China,2005,141.2
23,India,2005,7.8
24,United States,2006,295.0
25,Germany,2006,2899.0
26,China,2006,160.2
27,India,2006,11.6
28,United States,2007,455.0
29,Germany,2007,4170.0
30,China,2007,199.0
31,India,2007,9.6
32,United States,2008,753.0
33,Germany,2008,6120.0
34,China,2008,253.0
35,India,2008,25.1
36,United States,2009,1188.0
37,Germany,2009,10567.0
38,China,2009,414.8
39,India,2009,27.7
40,United States,2010,2040.0
41,Germany,2010,18007.0
42,China,2010,1021.8
43,India,2010,39.4
44,United States,2011,3382.0
45,Germany,2011,25917.0
46,China,2011,3107.8
47,India,2011,65.4
48,United States,2012,7328.0
49,Germany,2012,34077.0
50,China,2012,6718.8
51,India,2012,565.8
52,United States,2013,13045.0
53,Germany,2013,36711.0
54,China,2013,17758.8
55,India,2013,926.0
56,United States,2014,17651.0
57,Germany,2014,37900.0
58,China,2014,28398.8
59,India,2014,3672.508
60,United States,2015,23442.0
61,Germany,2015,39224.0
62,China,2015,43548.8
63,India,2015,5593.484
64,United States,2016,34716.0
65,Germany,2016,40679.0
66,China,2016,77808.8
67,India,2016,9879.021
68,United States,2017,43115.0
69,Germany,2017,42293.0
70,China,2017,130822.29
71,India,2017,18151.756
72,United States,2018,53183.5
73,Germany,2018,45181.0
74,China,2018,175236.86399999997
75,India,2018,27355.324
76,United States,2019,62297.9
77,Germany,2019,48962.0
78,China,2019,205493.165
79,India,2019,35059.884
