,Country,Years,Renewable Energy Solar (Installed capacity) MW
0,United States,2000,18.5
1,Germany,2000,114.0
2,China,2000,33.515
3,India,2000,0.0
4,United States,2001,3.3999999999999986
5,Germany,2001,81.0
6,China,2001,4.505000000000003
7,India,2001,1.1
8,United States,2002,6.100000000000001
9,Germany,2002,65.0
10,China,2002,18.509999999999998
11,India,2002,4.4
12,United States,2003,45.0
13,Germany,2003,175.0
14,China,2003,10.069999999999993
15,India,2003,1.2000000000000002
16,United States,2004,38.0
17,Germany,2004,670.0
18,China,2004,10.0
19,India,2004,1.2000000000000002
20,United States,2005,79.0
21,Germany,2005,951.0
22,China,2005,64.6
23,India,2005,-0.10000000000000053
24,United States,2006,105.0
25,Germany,2006,843.0
26,China,2006,19.0
27,India,2006,3.8
28,United States,2007,160.0
29,Germany,2007,1271.0
30,China,2007,38.80000000000001
31,India,2007,-2.0
32,United States,2008,298.0
33,Germany,2008,1950.0
34,China,2008,54.0
35,India,2008,15.500000000000002
36,United States,2009,435.0
37,Germany,2009,4447.0
38,China,2009,161.8
39,India,2009,2.599999999999998
40,United States,2010,852.0
41,Germany,2010,7440.0
42,China,2010,607.0
43,India,2010,11.7
44,United States,2011,1342.0
45,Germany,2011,7910.0
46,China,2011,2086.0
47,India,2011,26.000000000000007
48,United States,2012,3946.0
49,Germany,2012,8160.0
50,China,2012,3611.0
51,India,2012,500.4
52,United States,2013,5717.0
53,Germany,2013,2634.0
54,China,2013,11040.0
55,India,2013,360.20000000000005
56,United States,2014,4606.0
57,Germany,2014,1189.0
58,China,2014,10640.0
59,India,2014,2746.508
60,United States,2015,5791.0
61,Germany,2015,1324.0
62,China,2015,15150.000000000004
63,India,2015,1920.9760000000006
64,United States,2016,11274.0
65,Germany,2016,1455.0
66,China,2016,34260.0
67,India,2016,4285.537
68,United States,2017,8399.0
69,Germany,2017,1614.0
70,China,2017,53013.48999999999
71,India,2017,8272.735
72,United States,2018,10068.5
73,Germany,2018,2888.0
74,China,2018,44414.57399999995
75,India,2018,9203.568
76,United States,2019,9114.400000000001
77,Germany,2019,3781.0
78,China,2019,30256.301000000065
79,India,2019,7704.559999999998
