,Country,Years,Renewable Energy Wind  (Installed capacity) MW
0,United States,2000,2377.0
1,Germany,2000,6095.0
2,China,2000,341.0
3,India,2000,1267.0
4,United States,2001,1487.0
5,Germany,2001,2659.0
6,China,2001,42.0
7,India,2001,189.0
8,United States,2002,553.0
9,Germany,2002,3247.0
10,China,2002,66.0
11,India,2002,246.0
12,United States,2003,1578.0
13,Germany,2003,2380.0
14,China,2003,98.0
15,India,2003,423.0
16,United States,2004,461.0
17,Germany,2004,2038.0
18,China,2004,216.0
19,India,2004,875.0
20,United States,2005,2250.0
21,Germany,2005,1829.0
22,China,2005,297.0
23,India,2005,1433.8999999999996
24,United States,2006,2623.0
25,Germany,2006,2226.0
26,China,2006,1010.0
27,India,2006,1881.1000000000004
28,United States,2007,5186.0
29,Germany,2007,1642.0
30,China,2007,2130.0
31,India,2007,1529.5
32,United States,2008,8136.0
33,Germany,2008,678.0
34,China,2008,4187.728000000001
35,India,2008,2398.0
36,United States,2009,9645.0
37,Germany,2009,2938.0
38,China,2009,9211.679999999998
39,India,2009,682.5
40,United States,2010,4839.0
41,Germany,2010,1171.0
42,China,2010,12034.07
43,India,2010,2259.0
44,United States,2011,6541.0
45,Germany,2011,1809.0
46,China,2011,16721.122
47,India,2011,2995.0
48,United States,2012,13399.0
49,Germany,2012,2267.0
50,China,2012,15242.273000000001
51,India,2012,1120.7000000000007
52,United States,2013,898.0
53,Germany,2013,2498.0
54,China,2013,15133.657
55,India,2013,1120.7000000000007
56,United States,2014,4259.0
57,Germany,2014,5137.0
58,China,2014,20088.600000000006
59,India,2014,4044.899999999998
60,United States,2015,8341.020000000004
61,Germany,2015,5966.0
62,China,2015,34228.59999999999
63,India,2015,2622.8899999999994
64,United States,2016,8712.979999999996
65,Germany,2016,4855.0
66,China,2016,17469.160000000018
67,India,2016,3612.25
68,United States,2017,6311.0
69,Germany,2017,6145.0
70,China,2017,15857.58699999997
71,India,2017,4148.02
72,United States,2018,6820.399999999994
73,Germany,2018,3263.0
74,China,2018,20290.400000000023
75,India,2018,2439.6399999999994
76,United States,2019,9166.800000000003
77,Germany,2019,1979.0
78,China,2019,25813.502999999997
79,India,2019,2217.0800000000017
