,Country,Years,Primary Energy: Consumption EJ
0,United States,2000,95.13879198
1,Germany,2000,14.30741212
2,China,2000,42.45316142
3,India,2000,13.34155797
4,United States,2001,92.89452493
5,Germany,2001,14.56011357
6,China,2001,44.8419766
7,India,2001,13.41095659
8,United States,2002,94.23901794
9,Germany,2002,14.36718806
10,China,2002,48.84460713
11,India,2002,14.02856838
12,United States,2003,94.53503322
13,Germany,2003,14.3533407
14,China,2003,56.87522175
15,India,2003,14.56802106
16,United States,2004,96.39671419
17,Germany,2004,14.33946814
18,China,2004,66.54571613
19,India,2004,15.6296614
20,United States,2005,96.43731384
21,Germany,2005,14.165917199999999
22,China,2005,75.60172011
23,India,2005,16.56290826
24,United States,2006,95.65836227
25,Germany,2006,14.51322843
26,China,2006,82.8805339
27,India,2006,17.41017417
28,United States,2007,96.99645751
29,Germany,2007,13.89002168
30,China,2007,90.08781938
31,India,2007,18.92910864
32,United States,2008,94.60071171
33,Germany,2008,14.02825473
34,China,2008,93.44496937
35,India,2008,20.00481722
36,United States,2009,89.92401795
37,Germany,2009,13.15429711
38,China,2009,97.52314741
39,India,2009,21.52434691
40,United States,2010,92.97258881
41,Germany,2010,13.70618966
42,China,2010,104.2840024
43,India,2010,22.55470758
44,United States,2011,92.08836192
45,Germany,2011,13.20216248
46,China,2011,112.54080829999998
47,India,2011,23.88045003
48,United States,2012,89.68776503
49,Germany,2012,13.36885139
50,China,2012,117.04535020000002
51,India,2012,25.11341421
52,United States,2013,92.09548018
53,Germany,2013,13.74595931
54,China,2013,121.37465690000002
55,India,2013,26.076945199999997
56,United States,2014,93.05416796
57,Germany,2014,13.16627917
58,China,2014,124.19793290000001
59,India,2014,27.86167507
60,United States,2015,92.14900449
61,Germany,2015,13.39985761
62,China,2015,125.3768906
63,India,2015,28.77081861
64,United States,2016,92.017799
65,Germany,2016,13.61972299
66,China,2016,126.9507368
67,India,2016,30.06742863
68,United States,2017,92.33052485
69,Germany,2017,13.78398327
70,China,2017,130.8317338
71,India,2017,31.33455098
72,United States,2018,95.60291901
73,Germany,2018,13.43934242
74,China,2018,135.7706969
75,India,2018,33.30179358
76,United States,2019,94.64880404
77,Germany,2019,13.13989997
78,China,2019,141.699218
79,India,2019,34.05951446
