,Country,Years,Renewable installed PV Power GW
0,United States,2000,0.139
1,Germany,2000,0.08900000000000001
2,China,2000,0.0
3,India,2000,0.0
4,United States,2001,0.028999999999999998
5,Germany,2001,0.11699999999999998
6,China,2001,0.0
7,India,2001,0.0
8,United States,2002,0.043999999999999984
9,Germany,2002,0.11800000000000002
10,China,2002,0.0
11,India,2002,0.0
12,United States,2003,0.06300000000000003
13,Germany,2003,0.14899999999999997
14,China,2003,0.0
15,India,2003,0.0
16,United States,2004,0.10099999999999998
17,Germany,2004,0.666
18,China,2004,0.0
19,India,2004,0.0
20,United States,2005,0.10299999999999998
21,Germany,2005,0.933
22,China,2005,0.0
23,India,2005,0.0
24,United States,2006,0.14500000000000002
25,Germany,2006,0.8460000000000001
26,China,2006,0.08
27,India,2006,0.0
28,United States,2007,0.20699999999999996
29,Germany,2007,1.2770000000000001
30,China,2007,0.020000000000000004
31,India,2007,0.0
32,United States,2008,0.3380000000000001
33,Germany,2008,1.9579999999999993
34,China,2008,0.04000000000000001
35,India,2008,0.0
36,United States,2009,0.44700000000000006
37,Germany,2009,3.806
38,China,2009,0.15999999999999998
39,India,2009,0.0
40,United States,2010,0.42399999999999993
41,Germany,2010,7.411000000000001
42,China,2010,0.5
43,India,2010,0.0
44,United States,2011,1.92
45,Germany,2011,7.489999999999998
46,China,2011,2.5
47,India,2011,0.0
48,United States,2012,3.37
49,Germany,2012,7.600000000000001
50,China,2012,3.7
51,India,2012,0.0
52,United States,2013,4.75
53,Germany,2013,3.3100000000000023
54,China,2013,12.719999999999999
55,India,2013,0.0
56,United States,2014,6.24
57,Germany,2014,2.479999999999997
58,China,2014,10.66
59,India,2014,0.0
60,United States,2015,7.350000000000001
61,Germany,2015,1.4600000000000009
62,China,2015,13.150000000000002
63,India,2015,0.0
64,United States,2016,15.329999999999998
65,Germany,2016,0.990000000000002
66,China,2016,34.56999999999999
67,India,2016,0.0
68,United States,2017,10.799999999999997
69,Germany,2017,1.7999999999999972
70,China,2017,53.0
71,India,2017,0.0
72,United States,2018,10.700000000000003
73,Germany,2018,3.0
74,China,2018,44.30000000000001
75,India,2018,0.0
76,United States,2019,13.400000000000006
77,Germany,2019,3.700000000000003
78,China,2019,29.299999999999983
79,India,2019,42.8
