,Country,Years,Renewable installed Wind Power GW
0,Germany,2000,6.1129999999999995
1,United States,2000,2.61
2,India,2000,1.22
3,China,2000,0.35200000000000004
4,Germany,2001,8.734
5,United States,2001,4.245
6,India,2001,1.456
7,China,2001,0.406
8,Germany,2002,12.001
9,United States,2002,4.6739999999999995
10,India,2002,1.702
11,China,2002,0.473
12,Germany,2003,14.609000000000002
13,United States,2003,6.374
14,India,2003,2.11
15,China,2003,0.568
16,Germany,2004,16.629
17,United States,2004,6.725
18,India,2004,3.0
19,China,2004,0.764
20,Germany,2005,18.428
21,United States,2005,9.149
22,India,2005,4.43
23,China,2005,1.26
24,Germany,2006,20.622
25,United States,2006,11.603
26,India,2006,6.27
27,China,2006,2.6039999999999996
28,Germany,2007,22.247
29,United States,2007,16.664
30,India,2007,7.845
31,China,2007,5.906000000000001
32,Germany,2008,23.901999999999997
33,United States,2008,25.17
34,India,2008,9.655
35,China,2008,12.21
36,Germany,2009,25.776999999999997
37,United States,2009,35.068000000000005
38,India,2009,10.925999999999998
39,China,2009,25.805
40,Germany,2010,27.214000000000002
41,United States,2010,40.18
42,India,2010,13.065
43,China,2010,42.287
44,Germany,2011,29.06
45,United States,2011,46.919
46,India,2011,16.084
47,China,2011,62.733000000000004
48,Germany,2012,31.27
49,United States,2012,60.007
50,India,2012,18.421
51,China,2012,75.324
52,Germany,2013,34.25
53,United States,2013,61.11
54,India,2013,20.15
55,China,2013,91.412
56,Germany,2014,39.165
57,United States,2014,65.87899999999999
58,India,2014,22.465
59,China,2014,114.76299999999999
60,Germany,2015,44.941
61,United States,2015,73.991
62,India,2015,25.088
63,China,2015,145.36
64,Germany,2016,50.018
65,United States,2016,82.184
66,India,2016,28.7
67,China,2016,168.69
68,Germany,2017,56.163999999999994
69,United States,2017,88.927
70,India,2017,32.879
71,China,2017,187.73
72,Germany,2018,59.31
73,United States,2018,96.52
74,India,2018,35.13
75,China,2018,210.25
76,Germany,2019,61.4
77,United States,2019,105.57
78,India,2019,37.51
79,China,2019,236.4
