,Country,Years,Renewable installed Wind Power GW
0,Germany,2000,6.113
1,United States,2000,2.61
2,India,2000,1.22
3,China,2000,0.35200000000000004
4,Germany,2001,2.6209999999999996
5,United States,2001,1.6350000000000002
6,India,2001,0.236
7,China,2001,0.05399999999999999
8,Germany,2002,3.2669999999999995
9,United States,2002,0.42900000000000027
10,India,2002,0.246
11,China,2002,0.06699999999999995
12,Germany,2003,2.6080000000000023
13,United States,2003,1.6999999999999993
14,India,2003,0.4079999999999999
15,China,2003,0.09499999999999997
16,Germany,2004,2.0199999999999996
17,United States,2004,0.351
18,India,2004,0.8900000000000001
19,China,2004,0.19600000000000006
20,Germany,2005,1.7989999999999995
21,United States,2005,2.4239999999999995
22,India,2005,1.4299999999999997
23,China,2005,0.496
24,Germany,2006,2.193999999999999
25,United States,2006,2.4540000000000006
26,India,2006,1.8399999999999999
27,China,2006,1.344
28,Germany,2007,1.625
29,United States,2007,5.061000000000002
30,India,2007,1.5750000000000002
31,China,2007,3.3020000000000014
32,Germany,2008,1.6550000000000011
33,United States,2008,8.506
34,India,2008,1.8099999999999996
35,China,2008,6.303999999999999
36,Germany,2009,1.875
37,United States,2009,9.898000000000003
38,India,2009,1.270999999999999
39,China,2009,13.594999999999999
40,Germany,2010,1.4369999999999976
41,United States,2010,5.111999999999995
42,India,2010,2.139000000000001
43,China,2010,16.482
44,Germany,2011,1.846
45,United States,2011,6.738999999999997
46,India,2011,3.019
47,China,2011,20.445999999999998
48,Germany,2012,2.210000000000001
49,United States,2012,13.088000000000001
50,India,2012,2.3369999999999997
51,China,2012,12.591000000000001
52,Germany,2013,2.9800000000000004
53,United States,2013,1.1030000000000015
54,India,2013,1.7289999999999992
55,China,2013,16.088000000000008
56,Germany,2014,4.914999999999999
57,United States,2014,4.768999999999991
58,India,2014,2.3150000000000013
59,China,2014,23.351
60,Germany,2015,5.776000000000003
61,United States,2015,8.112000000000009
62,India,2015,2.623000000000001
63,China,2015,30.59700000000001
64,Germany,2016,5.076999999999998
65,United States,2016,8.192999999999998
66,India,2016,3.6119999999999983
67,China,2016,23.329999999999984
68,Germany,2017,6.146000000000001
69,United States,2017,6.743000000000009
70,India,2017,4.1789999999999985
71,China,2017,19.039999999999992
72,Germany,2018,3.146000000000001
73,United States,2018,7.592999999999989
74,India,2018,2.2510000000000048
75,China,2018,22.52000000000001
76,Germany,2019,2.0899999999999963
77,United States,2019,9.049999999999997
78,India,2019,2.3799999999999955
79,China,2019,26.150000000000006
