,Country,Years,Electricity generation
0,United States,2000.0,4.052.253.106
1,Germany,2000.0,576.556
2,China,2000.0,1355.6
3,India,2000.0,5.713.939.361
4,United States,2001.0,398.446.789
5,Germany,2001.0,5.864.115
6,China,2001.0,1.480.802
7,India,2001.0,5.860.927.384
8,United States,2002.0,4.111.775.538
9,Germany,2002.0,586.688
10,China,2002.0,1654
11,India,2002.0,6.096.504.786
12,United States,2003.0,4.137.978.842
13,Germany,2003.0,608.78
14,China,2003.0,1.910.575
15,India,2003.0,6.381.310.102
16,United States,2004.0,4.231.682.747
17,Germany,2004.0,6.174.652
18,China,2004.0,2203.31
19,India,2004.0,698.300.975
20,United States,2005.0,4.322.786.632
21,Germany,2005.0,622.575
22,China,2005.0,2500.26
23,India,2005.0,7.045.093.182
24,United States,2006.0,4.330.951.641
25,Germany,2006.0,6.395.665
26,China,2006.0,2.865.726
27,India,2006.0,7.444.262.523
28,United States,2007.0,4.431.837.021
29,Germany,2007.0,640.578
30,China,2007.0,3.281.553
31,India,2007.0,796.265.175
32,United States,2008.0,4.390.106.117
33,Germany,2008.0,640.686
34,China,2008.0,3495.76
35,India,2008.0,8.284.135.525
36,United States,2009.0,4.206.493.361
37,Germany,2009.0,595.624
38,China,2009.0,3.714.651
39,India,2009.0,87.970.725
40,United States,2010.0,4.394.250.985
41,Germany,2010.0,633.093
42,China,2010.0,4207.16
43,India,2010.0,9.374.680.375
44,United States,2011.0,4.363.377.155
45,Germany,2011.0,613.070.326
46,China,2011.0,4.713.019
47,India,2011.0,1.034.011.325
48,United States,2012.0,4.310.569.202
49,Germany,2012.0,630.149
50,China,2012.0,4.987.553
51,India,2012.0,1.091.837.883
52,United States,2013.0,4.330.292.888
53,Germany,2013.0,638.73
54,China,2013.0,5.431.635
55,India,2013.0,1.146.139.133
56,United States,2014.0,4.363.326.407
57,Germany,2014.0,6.277.651.018
58,China,2014.0,5.794.457
59,India,2014.0,1.262.219.968
60,United States,2015.0,434.866.944
61,Germany,2015.0,6.481.492.806
62,China,2015.0,5.814.573
63,India,2015.0,131.729.813
64,United States,2016.0,4.347.910.814
65,Germany,2016.0,650.707.344
66,China,2016.0,6133.16
67,India,2016.0,1.401.741.765
68,United States,2017.0,4.302.539.017
69,Germany,2017.0,6.536.547
70,China,2017.0,6.604.447
71,India,2017.0,1.473.759.284
