,Country,Years,Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
0,China,2000,30187188.73
1,China,2001,30940867.04
2,China,2002,32272543.97
3,China,2003,35505254.39
4,China,2004,41469975.08
5,China,2005,45785223.21
6,China,2006,49175114.02
7,China,2007,52829271.79
8,China,2008,54691192.12
9,China,2009,56930962.32
10,China,2010,61093297.29
11,China,2011,65459079.1
12,China,2012,67426526.34
13,China,2013,69906541.02
14,China,2014,71536310.66
15,China,2015,73183146.53
16,China,2016,..
17,Germany,2000,8638440.514
18,Germany,2001,8812552.193
19,Germany,2002,8671255.271
20,Germany,2003,8839115.931
21,Germany,2004,8763328.404
22,Germany,2005,8626259.145
23,Germany,2006,8820320.967
24,Germany,2007,8247962.045
25,Germany,2008,8551613.944
26,Germany,2009,8118725.87
27,Germany,2010,8638160.04
28,Germany,2011,8211583.065
29,Germany,2012,8300447.226
30,Germany,2013,8524131.747
31,Germany,2014,8130876.006
32,Germany,2015,8327614.785
33,Germany,2016,..
34,India,2000,12080447.48
35,India,2001,12162916.05
36,India,2002,12583836.53
37,India,2003,12722743.67
38,India,2004,13273593.71
39,India,2005,13900527.19
40,India,2006,14552475.55
41,India,2007,15352261.19
42,India,2008,16342885.25
43,India,2009,17750414.76
44,India,2010,18684425.28
45,India,2011,19401668.04
46,India,2012,19869435.09
47,India,2013,20586036.18
48,India,2014,21562801.38
49,India,2015,22241457.76
50,India,2016,..
51,United States,2000,58330543.36
52,United States,2001,57219712.6
53,United States,2002,57240371.73
54,United States,2003,58069490.9
55,United States,2004,58840911.06
56,United States,2005,58889188.25
57,United States,2006,58707586.93
58,United States,2007,59567475.18
59,United States,2008,58277353.04
60,United States,2009,55341324.5
61,United States,2010,57655200.55
62,United States,2011,57123701.65
63,United States,2012,56628804.85
64,United States,2013,57984073.56
65,United States,2014,59116385.16
66,United States,2015,58483061.91
67,United States,2016,..
