,Country,Years,Electricity Consumption
0,Germany,2000.0,501.0
1,United States,2000.0,3590.0
2,China,2000.0,1138.0
3,India,2000.0,376.0
4,Germany,2001.0,513.0
5,United States,2001.0,3554.0
6,China,2001.0,1241.0
7,India,2001.0,382.0
8,Germany,2002.0,526.0
9,United States,2002.0,3632.0
10,China,2002.0,1380.0
11,India,2002.0,406.0
12,Germany,2003.0,531.0
13,United States,2003.0,3662.0
14,China,2003.0,1605.0
15,India,2003.0,433.0
16,Germany,2004.0,538.0
17,United States,2004.0,3716.0
18,China,2004.0,1859.0
19,India,2004.0,463.0
20,Germany,2005.0,539.0
21,United States,2005.0,3811.0
22,China,2005.0,2126.0
23,India,2005.0,489.0
24,Germany,2006.0,544.0
25,United States,2006.0,3818.0
26,China,2006.0,2446.0
27,India,2006.0,543.0
28,Germany,2007.0,545.0
29,United States,2007.0,3922.0
30,China,2007.0,2817.0
31,India,2007.0,588.0
32,Germany,2008.0,543.0
33,United States,2008.0,3907.0
34,China,2008.0,2989.0
35,India,2008.0,619.0
36,Germany,2009.0,514.0
37,United States,2009.0,3725.0
38,China,2009.0,3223.0
39,India,2009.0,669.0
40,Germany,2010.0,547.0
41,United States,2010.0,3894.0
42,China,2010.0,3626.0
43,India,2010.0,727.0
44,Germany,2011.0,541.0
45,United States,2011.0,3885.0
46,China,2011.0,4052.0
47,India,2011.0,803.0
48,Germany,2012.0,540.0
49,United States,2012.0,3831.0
50,China,2012.0,4326.0
51,India,2012.0,839.0
52,Germany,2013.0,537.0
53,United States,2013.0,3873.0
54,China,2013.0,4718.0
55,India,2013.0,890.0
56,Germany,2014.0,526.0
57,United States,2014.0,3894.0
58,China,2014.0,4939.0
59,India,2014.0,963.0
60,Germany,2015.0,528.0
61,United States,2015.0,3895.0
62,China,2015.0,5104.0
63,India,2015.0,1032.0
64,Germany,2016.0,528.0
65,United States,2016.0,3890.0
66,China,2016.0,5367.0
67,India,2016.0,1098.0
68,Germany,2017.0,531.0
69,United States,2017.0,3808.0
70,China,2017.0,5683.0
71,India,2017.0,1156.0
