,Country,Years,Renewable installed PV Power
0,United States,2000.0,0.139
1,Germany,2000.0,0.08900000000000001
2,China,2000.0,0.0
3,India,2000.0,0.0
4,United States,2001.0,0.168
5,Germany,2001.0,0.20600000000000002
6,China,2001.0,0.0
7,India,2001.0,0.0
8,United States,2002.0,0.212
9,Germany,2002.0,0.324
10,China,2002.0,0.0
11,India,2002.0,0.0
12,United States,2003.0,0.275
13,Germany,2003.0,0.473
14,China,2003.0,0.0
15,India,2003.0,0.0
16,United States,2004.0,0.376
17,Germany,2004.0,1.139
18,China,2004.0,0.0
19,India,2004.0,0.0
20,United States,2005.0,0.479
21,Germany,2005.0,2.072
22,China,2005.0,0.0
23,India,2005.0,0.0
24,United States,2006.0,0.624
25,Germany,2006.0,2.918
26,China,2006.0,0.08
27,India,2006.0,0.0
28,United States,2007.0,0.831
29,Germany,2007.0,4.195
30,China,2007.0,0.1
31,India,2007.0,0.0
32,United States,2008.0,1.169
33,Germany,2008.0,6.153
34,China,2008.0,0.14
35,India,2008.0,0.0
36,United States,2009.0,1.6159999999999999
37,Germany,2009.0,9.959
38,China,2009.0,0.3
39,India,2009.0,0.0
40,United States,2010.0,2.04
41,Germany,2010.0,17.37
42,China,2010.0,0.8
43,India,2010.0,0.0
44,United States,2011.0,3.96
45,Germany,2011.0,24.86
46,China,2011.0,3.3
47,India,2011.0,0.0
48,United States,2012.0,7.33
49,Germany,2012.0,32.46
50,China,2012.0,7.0
51,India,2012.0,0.0
52,United States,2013.0,12.08
53,Germany,2013.0,35.77
54,China,2013.0,19.72
55,India,2013.0,0.0
56,United States,2014.0,18.32
57,Germany,2014.0,38.25
58,China,2014.0,30.38
59,India,2014.0,0.0
60,United States,2015.0,25.67
61,Germany,2015.0,39.71
62,China,2015.0,43.53
63,India,2015.0,0.0
64,United States,2016.0,41.0
65,Germany,2016.0,40.7
66,China,2016.0,78.1
67,India,2016.0,0.0
68,United States,2017.0,51.8
69,Germany,2017.0,42.5
70,China,2017.0,131.1
71,India,2017.0,0.0
