,Country,Years,Renewable Energy Wind  (Installed capacity)
0,United States,2000.0,2377
1,Germany,2000.0,6095
2,China,2000.0,341
3,India,2000.0,1267
4,United States,2001.0,3864
5,Germany,2001.0,8754
6,China,2001.0,383
7,India,2001.0,1456
8,United States,2002.0,4417
9,Germany,2002.0,12001
10,China,2002.0,449
11,India,2002.0,1702
12,United States,2003.0,5995
13,Germany,2003.0,14381
14,China,2003.0,547
15,India,2003.0,2125
16,United States,2004.0,6456
17,Germany,2004.0,16419
18,China,2004.0,763
19,India,2004.0,3000
20,United States,2005.0,8706
21,Germany,2005.0,18248
22,China,2005.0,1060
23,India,2005.0,4433.9
24,United States,2006.0,11329
25,Germany,2006.0,20474
26,China,2006.0,2070
27,India,2006.0,6315
28,United States,2007.0,16515
29,Germany,2007.0,22116
30,China,2007.0,4200
31,India,2007.0,7844.5
32,United States,2008.0,24651
33,Germany,2008.0,22794
34,China,2008.0,8.387.728
35,India,2008.0,10242.5
36,United States,2009.0,34296
37,Germany,2009.0,25732
38,China,2009.0,17.599.408
39,India,2009.0,10925
40,United States,2010.0,39135
41,Germany,2010.0,26903
42,China,2010.0,29.633.478
43,India,2010.0,13184
44,United States,2011.0,45676
45,Germany,2011.0,28712
46,China,2011.0,46354.6
47,India,2011.0,16179
48,United States,2012.0,59075
49,Germany,2012.0,30979
50,China,2012.0,61.596.873
51,India,2012.0,17299.7
52,United States,2013.0,59973
53,Germany,2013.0,33477
54,China,2013.0,76730.53
55,India,2013.0,18420.4
56,United States,2014.0,64232
57,Germany,2014.0,38614
58,China,2014.0,96819.13
59,India,2014.0,22465.3
60,United States,2015.0,72573.02
61,Germany,2015.0,44580
62,China,2015.0,131047.73
63,India,2015.0,25088.19
64,United States,2016.0,81286
65,Germany,2016.0,49435
66,China,2016.0,148516.89
67,India,2016.0,28700.44
68,United States,2017.0,87597
69,Germany,2017.0,55580
70,China,2017.0,164.374.477
71,India,2017.0,32848.46
