,Country,Years,WEB Residential Energy Indicators
0,Germany,2000.0,100
1,Germany,2000.0,100
2,Germany,2000.0,100
3,Germany,2000.0,100
4,Germany,2000.0,100
5,Germany,2000.0,100
6,Germany,2000.0,100
7,Germany,2000.0,100
8,Germany,2000.0,100
9,Germany,2000.0,100
10,United States,2000.0,100
11,United States,2000.0,100
12,United States,2000.0,100
13,United States,2000.0,100
14,United States,2000.0,100
15,United States,2000.0,100
16,United States,2000.0,100
17,United States,2000.0,100
18,United States,2000.0,100
19,United States,2000.0,100
20,Germany,2005.0,101
21,Germany,2005.0,98
22,Germany,2005.0,89
23,Germany,2005.0,98
24,Germany,2005.0,95
25,Germany,2005.0,84
26,Germany,2005.0,106
27,Germany,2005.0,103
28,Germany,2005.0,106
29,Germany,2005.0,102
30,United States,2005.0,97
31,United States,2005.0,96
32,United States,2005.0,98
33,United States,2005.0,83
34,United States,2005.0,83
35,United States,2005.0,85
36,United States,2005.0,102
37,United States,2005.0,101
38,United States,2005.0,117
39,United States,2005.0,116
40,Germany,2010.0,107
41,Germany,2010.0,100
42,Germany,2010.0,82
43,Germany,2010.0,102
44,Germany,2010.0,95
45,Germany,2010.0,72
46,Germany,2010.0,105
47,Germany,2010.0,98
48,Germany,2010.0,123
49,Germany,2010.0,115
50,United States,2010.0,96
51,United States,2010.0,97
52,United States,2010.0,97
53,United States,2010.0,82
54,United States,2010.0,83
55,United States,2010.0,84
56,United States,2010.0,93
57,United States,2010.0,94
58,United States,2010.0,115
59,United States,2010.0,116
60,Germany,2015.0,89
61,Germany,2015.0,82
62,Germany,2015.0,78
63,Germany,2015.0,79
64,Germany,2015.0,73
65,Germany,2015.0,69
66,Germany,2015.0,93
67,Germany,2015.0,87
68,Germany,2015.0,115
69,Germany,2015.0,106
70,United States,2015.0,90
71,United States,2015.0,89
72,United States,2015.0,92
73,United States,2015.0,75
74,United States,2015.0,75
75,United States,2015.0,81
76,United States,2015.0,63
77,United States,2015.0,63
78,United States,2015.0,114
79,United States,2015.0,114
80,Germany,2016.0,91
81,Germany,2016.0,84
82,Germany,2016.0,78
83,Germany,2016.0,82
84,Germany,2016.0,76
85,Germany,2016.0,69
86,Germany,2016.0,88
87,Germany,2016.0,82
88,Germany,2016.0,106
89,Germany,2016.0,99
90,United States,2016.0,85
91,United States,2016.0,84
92,United States,2016.0,89
93,United States,2016.0,66
94,United States,2016.0,65
95,United States,2016.0,75
96,United States,2016.0,64
97,United States,2016.0,64
98,United States,2016.0,114
99,United States,2016.0,113
100,Germany,2017.0,88
101,Germany,2017.0,82
102,Germany,2017.0,77
103,Germany,2017.0,78
104,Germany,2017.0,73
105,Germany,2017.0,67
106,Germany,2017.0,88
107,Germany,2017.0,82
108,Germany,2017.0,106
109,Germany,2017.0,98
110,United States,2017.0,85
111,United States,2017.0,84
112,United States,2017.0,90
113,United States,2017.0,67
114,United States,2017.0,66
115,United States,2017.0,77
116,United States,2017.0,62
117,United States,2017.0,62
118,United States,2017.0,117
119,United States,2017.0,116
