,Country,Years,WEB Transport Energy Indicators
0,Germany,2000.0,100
1,Germany,2000.0,100
2,Germany,2000.0,100
3,Germany,2000.0,100
4,United States,2000.0,100
5,United States,2000.0,100
6,United States,2000.0,100
7,United States,2000.0,100
8,Germany,2005.0,95
9,Germany,2005.0,95
10,Germany,2005.0,84
11,Germany,2005.0,96
12,United States,2005.0,96
13,United States,2005.0,99
14,United States,2005.0,109
15,United States,2005.0,109
16,Germany,2010.0,91
17,Germany,2010.0,90
18,Germany,2010.0,81
19,Germany,2010.0,96
20,United States,2010.0,90
21,United States,2010.0,95
22,United States,2010.0,143
23,United States,2010.0,110
24,Germany,2015.0,89
25,Germany,2015.0,87
26,Germany,2015.0,81
27,Germany,2015.0,89
28,United States,2015.0,92
29,United States,2015.0,97
30,United States,2015.0,143
31,United States,2015.0,125
32,Germany,2016.0,89
33,Germany,2016.0,87
34,Germany,2016.0,81
35,Germany,2016.0,88
36,United States,2016.0,87
37,United States,2016.0,92
38,United States,2016.0,141
39,United States,2016.0,120
40,Germany,2017.0,91
41,Germany,2017.0,89
42,Germany,2017.0,80
43,Germany,2017.0,101
44,United States,2017.0,87
45,United States,2017.0,91
46,United States,2017.0,145
47,United States,2017.0,120
