,Country,Years,Electricity Production
0,Germany,2000.0,577.0
1,United States,2000.0,4053.0
2,China,2000.0,1356.0
3,India,2000.0,570.0
4,Germany,2001.0,586.0
5,United States,2001.0,3865.0
6,China,2001.0,1481.0
7,India,2001.0,588.0
8,Germany,2002.0,587.0
9,United States,2002.0,4051.0
10,China,2002.0,1654.0
11,India,2002.0,611.0
12,Germany,2003.0,609.0
13,United States,2003.0,4082.0
14,China,2003.0,1911.0
15,India,2003.0,651.0
16,Germany,2004.0,617.0
17,United States,2004.0,4175.0
18,China,2004.0,2204.0
19,India,2004.0,684.0
20,Germany,2005.0,623.0
21,United States,2005.0,4294.0
22,China,2005.0,2500.0
23,India,2005.0,716.0
24,Germany,2006.0,639.0
25,United States,2006.0,4301.0
26,China,2006.0,2866.0
27,India,2006.0,774.0
28,Germany,2007.0,641.0
29,United States,2007.0,4350.0
30,China,2007.0,3282.0
31,India,2007.0,824.0
32,Germany,2008.0,640.0
33,United States,2008.0,4368.0
34,China,2008.0,3467.0
35,India,2008.0,848.0
36,Germany,2009.0,596.0
37,United States,2009.0,4188.0
38,China,2009.0,3715.0
39,India,2009.0,917.0
40,Germany,2010.0,633.0
41,United States,2010.0,4378.0
42,China,2010.0,4208.0
43,India,2010.0,979.0
44,Germany,2011.0,613.0
45,United States,2011.0,4349.0
46,China,2011.0,4716.0
47,India,2011.0,1075.0
48,Germany,2012.0,630.0
49,United States,2012.0,4291.0
50,China,2012.0,4994.0
51,India,2012.0,1123.0
52,Germany,2013.0,639.0
53,United States,2013.0,4306.0
54,China,2013.0,5447.0
55,India,2013.0,1191.0
56,Germany,2014.0,628.0
57,United States,2014.0,4339.0
58,China,2014.0,5679.0
59,India,2014.0,1294.0
60,Germany,2015.0,647.0
61,United States,2015.0,4317.0
62,China,2015.0,5860.0
63,India,2015.0,1383.0
64,Germany,2016.0,648.0
65,United States,2016.0,4316.0
66,China,2016.0,6165.0
67,India,2016.0,1463.0
68,Germany,2017.0,653.0
69,United States,2017.0,4251.0
70,China,2017.0,6529.0
71,India,2017.0,1541.0
