,Country,Years,WEB Industry Energy Indicators
0,Germany,2000.0,100.0
1,Germany,2000.0,100.0
2,Germany,2000.0,100.0
3,Germany,2000.0,100.0
4,Germany,2000.0,100.0
5,Germany,2000.0,100.0
6,Germany,2000.0,100.0
7,Germany,2000.0,
8,United States,2000.0,100.0
9,United States,2000.0,100.0
10,United States,2000.0,100.0
11,United States,2000.0,100.0
12,United States,2000.0,100.0
13,United States,2000.0,100.0
14,United States,2000.0,100.0
15,United States,2000.0,100.0
16,Germany,2005.0,97.0
17,Germany,2005.0,134.0
18,Germany,2005.0,95.0
19,Germany,2005.0,96.0
20,Germany,2005.0,97.0
21,Germany,2005.0,89.0
22,Germany,2005.0,123.0
23,Germany,2005.0,
24,United States,2005.0,77.0
25,United States,2005.0,90.0
26,United States,2005.0,74.0
27,United States,2005.0,89.0
28,United States,2005.0,87.0
29,United States,2005.0,101.0
30,United States,2005.0,83.0
31,United States,2005.0,93.0
32,Germany,2010.0,96.0
33,Germany,2010.0,131.0
34,Germany,2010.0,108.0
35,Germany,2010.0,97.0
36,Germany,2010.0,117.0
37,Germany,2010.0,95.0
38,Germany,2010.0,82.0
39,Germany,2010.0,
40,United States,2010.0,64.0
41,United States,2010.0,94.0
42,United States,2010.0,58.0
43,United States,2010.0,89.0
44,United States,2010.0,83.0
45,United States,2010.0,112.0
46,United States,2010.0,72.0
47,United States,2010.0,95.0
48,Germany,2015.0,83.0
49,Germany,2015.0,114.0
50,Germany,2015.0,107.0
51,Germany,2015.0,91.0
52,Germany,2015.0,96.0
53,Germany,2015.0,96.0
54,Germany,2015.0,77.0
55,Germany,2015.0,
56,United States,2015.0,59.0
57,United States,2015.0,79.0
58,United States,2015.0,70.0
59,United States,2015.0,77.0
60,United States,2015.0,69.0
61,United States,2015.0,93.0
62,United States,2015.0,59.0
63,United States,2015.0,103.0
64,Germany,2016.0,80.0
65,Germany,2016.0,116.0
66,Germany,2016.0,99.0
67,Germany,2016.0,91.0
68,Germany,2016.0,99.0
69,Germany,2016.0,94.0
70,Germany,2016.0,75.0
71,Germany,2016.0,
72,United States,2016.0,58.0
73,United States,2016.0,72.0
74,United States,2016.0,70.0
75,United States,2016.0,81.0
76,United States,2016.0,62.0
77,United States,2016.0,86.0
78,United States,2016.0,58.0
79,United States,2016.0,119.0
80,Germany,2017.0,79.0
81,Germany,2017.0,112.0
82,Germany,2017.0,105.0
83,Germany,2017.0,90.0
84,Germany,2017.0,102.0
85,Germany,2017.0,96.0
86,Germany,2017.0,72.0
87,Germany,2017.0,
88,United States,2017.0,57.0
89,United States,2017.0,79.0
90,United States,2017.0,71.0
91,United States,2017.0,73.0
92,United States,2017.0,64.0
93,United States,2017.0,90.0
94,United States,2017.0,57.0
95,United States,2017.0,122.0
