,Country,Years,WEB Transport Energy Indicators
0,Germany,2000.0,100.0
1,Germany,2000.0,100.0
2,Germany,2000.0,100.0
3,Germany,2000.0,100.0
4,United States,2000.0,100.0
5,United States,2000.0,100.0
6,United States,2000.0,100.0
7,United States,2000.0,100.0
8,Germany,2005.0,95.0
9,Germany,2005.0,95.0
10,Germany,2005.0,84.0
11,Germany,2005.0,96.0
12,United States,2005.0,96.0
13,United States,2005.0,99.0
14,United States,2005.0,109.0
15,United States,2005.0,109.0
16,Germany,2010.0,91.0
17,Germany,2010.0,90.0
18,Germany,2010.0,81.0
19,Germany,2010.0,96.0
20,United States,2010.0,90.0
21,United States,2010.0,95.0
22,United States,2010.0,143.0
23,United States,2010.0,110.0
24,Germany,2015.0,89.0
25,Germany,2015.0,87.0
26,Germany,2015.0,81.0
27,Germany,2015.0,89.0
28,United States,2015.0,92.0
29,United States,2015.0,97.0
30,United States,2015.0,143.0
31,United States,2015.0,125.0
32,Germany,2016.0,89.0
33,Germany,2016.0,87.0
34,Germany,2016.0,81.0
35,Germany,2016.0,88.0
36,United States,2016.0,87.0
37,United States,2016.0,92.0
38,United States,2016.0,141.0
39,United States,2016.0,120.0
40,Germany,2017.0,91.0
41,Germany,2017.0,89.0
42,Germany,2017.0,80.0
43,Germany,2017.0,101.0
44,United States,2017.0,87.0
45,United States,2017.0,91.0
46,United States,2017.0,145.0
47,United States,2017.0,120.0
