Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,0.1424002,0.137033,0.1596998,0.1957646,0.102,0.152,0.152,0.158,0.165,0.165,1.561.137.083,1.646.065.527,1.692.926.296,1.793.912.864,1.793.805.631,1.852.408.401,1.843.213.182,1.924.442.091,1.750.108.231,1.915.086.022,1.915.086.022,2.379.064.516,287.272.043,378.411.828,3.791.345.161,4.060.187.097,4.240.432.258,3.717.451.613,3.793.995.699,0.409049462,0.457236559,0.572290323,0.520677419,0.73788172,0.670085991,-0.091878858,-0.150815214,0.002868073
Mexico,0,0,0,0,-0.0007704,0.001901,0.000624,0.0010078,0.0010504,0.003624,0.0024734,0.0017902,0.0047198,-0.0019376,0.0035216,0.0035034,0.002315,0,5.287.658.205,3.631.392.719,9.314.880.296,5.736.857.821,5.089.224.016,6.609.704.451,5.985.076.496,3.913.010.484,2.401.921.858,1.586.461.358,0.767182597,0.655484783,0.284076726,0.876164338,3.506.569.344,2.055.516.065,2.155.052.226,0.048423927,0.120144068,0.09223962
United States,0.34385914,0.368405376,0.373086559,0.396912903,4.926.283.333,1.067.240.875,1.300.921.453,1.379.728.314,1.393.280.363,136.961.353,1.372.307.209,1.436.192.447,1.575.225.674,165.811.863,182.940.618,180.309.984,1.222.713.092,1.397.548.879,14.545.181,1.475.084.734,1.335.915.624,1.352.413.552,127.020.304,1.228.199.821,1.252.409.457,1.346.426.351,1.480.104.819,1.450.250.746,1.430.566.562,1.407.183.718,1.475.186.233,1.435.359.482,1.368.882.154,1.361.973.135,139.604.667,0.025017773,0.010392121,0.05975299
Total North America,0.48625934,0.505438376,0.532786359,0.592677503,5.027.512.933,1.082.630.975,1.316.183.853,1.395.629.094,1.409.885.403,138.647.593,1.528.668.258,160.097.802,1.744.990.284,1.837.316.156,2.009.138.903,198.869.102,140.726.591,1.589.993.088,2.158.294.744,2.029.732.608,2.458.912.256,2.164.005.785,2.066.397.485,2.267.582.094,2.230.051.623,2.143.746.109,2.144.340.231,1.980.642.043,1.886.684.392,1.513.637.142,1.549.317.562,1.580.204.948,177.160.683,3.491.277.372,3.618.107.495,0.036327713,0.044100091,0.154860684
Argentina,0.0115926,0.01737,0.0488704,0.7710272,0.3630264,0.2899052,0.2103762,0.2292982,0.2936276,0.3087616,0.1546206,0.0739472,0.1687588,0.1595278,0.2773952,0.0683212,0.0217818,0.0373498,0.0280128,0.0957902,0.2537476,0.207,0.3400001,0.322999988,0.429,0.331,0.337,0.613,0.597,0.831,0.851,0.711068493,0.54292472,0.537821767,0.478663655,-0.109995757,0.052309732,0.002048756
Brazil,0,0,0,0,0,0,2.04E-05,0,0,0.0001,0.0001,0,0.000506396,0.00018,3.06E-05,0.000275984,1.00E-04,0.0002,0,0,9.91E+00,-0.065837209,-0.000111474,0,0,0.000442,0,0.00166149,0.00254711,0,0,0,0,0,0,0,0,0
Other S. & Cent. America,0.012,0.018,0.011,0.084,0.069,0.024052632,0.037501053,0.035274737,0.035975035,0.050735561,0.058069245,0.134762632,0.201350526,0.203642157,0.08634038,0.000529474,-0.0005,0.00019,0.02487,0.02468,0.02218,0.022571,0.03288,0.0026106,0.08795401,8.312.046.536,0.024192786,0.37177425,0.05558363,8.524.923.652,1.404.450.107,0.112277546,-0.344102794,-0.074073753,-0.11779238,0.590204019,0,-0.00050417
Total S. & Cent. America,0.0235926,0.03537,0.0598704,0.8550272,0.4320264,0.313957832,0.247897653,0.264572937,0.329602635,0.359597161,0.212789845,0.208709832,0.370615722,0.363349957,0.36376618,0.069126658,0.0213818,0.0377398,0.0528828,0.1204702,0.276026675,0.163733791,0.372768626,0.325610588,0.51695401,8.643.488.536,0.361192786,0.98643574,0.65513074,9.355.923.652,2.255.450.107,0.823346039,0.198821926,0.463748014,0.360871276,-0.221837584,0.035996658,0.001544586
Germany,1.438.832.066,1.413.344.864,1.368.018.071,156.267.274,1.606.700.431,20.158,16.2,162.937,15.82,173.832,17.748,17.399,17.464,18.59,19.3,2.127.425,212.795,1.862.625,20.306,212.268,241.468,254.006,265.586,247.124,211.252,264.293,253.062,261.096,26.18,26.913,2.713.520.869,27.543,267.438,26.848,257.313.434,-0.041591799,0.008323065,0.110134192
Italy,3.503,3.617,3.292,3.079,5.432.979.798,4.593.080.808,4.334.121.212,4.474.080.808,5.677.161.616,3.964.282.828,5.215.363.636,6.133.333.333,6.526,7.939,8.521,7.987,8.677,8.439,9.594,9.887,9.407,90.433,8.373,8.194,66.493,61.816,50.161,49.645,49.063,47.911,58.569,68.522,6.753.566,6.453.307,4.705.150.121,-0.270893184,-0.023598053,0.020138782
Netherlands,2.328,2.301,2.288,2.647,2.709,0.487,0.45,0.578,0.519,0.55399,0.775,0.887,1.373,4.929.515,508.806,4.707.217,4.821.889,4.740.534,5.606.941,5.652.256,5.776.399,5.001.079,5.650.809,5.385.643,5.002.519,6.230.888,6.365.347,6.707.786,5.981.248,5.961.293,5.467.317,5.908.859,6.080.671,5.576.124,4.987.722.266,-0.105521637,0.003481768,0.021348235
Poland,218.305,241.101,252.887,252.043,227.849,2.099,2.341,2.376,2.392,2.359,2.261,2.25,2.289,2.048,2.157,2.087,1.97,1.78,1.652,1.7,1.674,1.084,0.68,0.6814,0.6587,0.6965,0.565,0.5386,0.6804,0.74,0.794,0.76,0.474,0.695748592,0.959966226,0.379760213,0.00208606,0.004108806
Spain,17.539.468,0.9336308,0.7924516,10.010.474,0.824456,0.9,1.141,2.15,1.529,1.18,1.77,1.505,1.849,2.436,3.312,2.844,3.17,3.633,3.173,3.054,5.604,4.542,4.026,3.394,3.298.066.176,3.689.419.118,3.189.160.102,450.701,5.058.355.045,4.487.040.945,4.212.167.334,442.951.742,3.376.489.873,2.859.583.184,2.142.500.474,-0.250764767,-0.016987388,0.009170239
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0.0717,0.0542,0.0459,0.0437,0.0369,0.028,0.0884,0.09615,0.118787409,0.079605,0.088449,0.124596,0.126359,0.128768,0.292583,0.350059,0.517137,0.73687,0.8482,0.973385,1.125.330.363,0.156099964,0.284500951,0.004816591
Ukraine,0,0,0,0,0,0.209,0.216,0.207,0.198,0.209,0.197,0.201,0.176,0.176,0.176,0.176,0.169,0.162,0.152,0.135,0.142,0.148,0.116,0,0,0.001,0.00167,0.51417,0.66789,0.83983,204.268,1.708,163.058.972,0.664360613,1.878.803.291,1.827.987.173,0,0.008041573
United Kingdom,4.672.789.899,2.883.689.899,19.632,3.938.389.899,37.447,2.156,17.014,1.889,16.029,18.603,55.324,196.744,174.306,5.614.556.505,7.773.023.173,7.540.291.196,6.518.608.778,691.325.765,6.894.945.914,6.283.078.359,7.180.942.361,7.863.095.299,732.667.966,7.218.424.884,6.881.050.465,5.695.231.624,5.728.990.474,6.367.172.995,6.295.967.602,6.774.625.501,7.375.851.432,8.536.864.023,8.037.364.522,7.835.360.654,7.811.566.787,-0.003036729,0.008234734,0.033434733
Other Europe,1.147.481.881,1.165.443.216,1.114.536.998,121.900.424,1.281.347.588,1.087.037.067,1.144.195.874,1.203.453.809,1.065.995.448,1.080.145.097,1.204.440.882,1.352.353.993,1.473.354.617,1.571.456.133,1.539.897.585,1.872.688.157,179.349.279,2.034.325.197,2.173.995.085,2.224.573.155,2.249.380.406,233.319.662,2.425.278.968,2.460.732.492,2.586.527.388,2.650.667.692,2.792.401.156,2.868.191.242,2.907.197.781,2.952.753.279,3.035.941.561,3.108.304.726,3.242.363.014,3.524.165.239,2.789.095.241,-0.20857989,0.036571314,0.119377657
Total Europe,4.030.392.617,379.342.115,3.569.007.229,4.100.263.709,4.387.010.599,4.147.245.148,3.782.547.995,400.023.189,383.980.161,383.112.238,4.554.317.245,4.386.631.326,4.615.360.617,5.746.123.283,6.179.775.902,6.539.683.977,6.458.682.568,6.468.099.362,6.915.573.776,7.021.186.591,7.651.334.542,765.101.905,7.710.266.575,742.727.978,6.956.855.853,7.555.521.166,7.422.283.813,7.851.951.941,7.913.472.146,8.038.448.124,8.376.067.706,875.583.577,8.636.831.126,8.714.752.143,7.723.333.533,-0.11376326,0.016114212,0.330570807
Kazakhstan,0,0,0,0,0,0,-0.0007974,-0.0026718,-0.0011156,-0.0043256,-0.0048504,-0.0036348,0.0019374,-0.0024534,0.0021272,0,0,0,0,0,0,0,0,0,0,0,0,-2.10E-05,-0.0007874,0,0,0,0,-4.718.553.451,-2.079.568.498,-0.559278385,0,-0.00890088
Russian Federation,0,0,0,0,0,0,0,1.816.095.573,260.668.593,2.609.513.559,2.548.759.493,2.541.433.877,2.459.746.787,2.464.245.121,2.924.003.633,3.814,4.795.999.016,4.757.206.914,3.724.269.033,3.726.511.016,4.528.461.658,4.610.272.362,392.687.794,4.466.598.204,4.549.426.104,4.651.825.081,451.746.092,441.357.452,4.391.426.101,4.952.703.316,4.706.362.629,4.453.919.061,4.443.744.078,4.388.536.712,4.306.316.712,-0.018735174,-0.001761571,0.018431712
Other CIS,0.002097,0.002097,0.002097,0.002097,0.002097,-0.978634,0.0013444,0.0009666,-0.0017626,-0.000577,-0.0044612,-0.0025086,-0.013905,-0.0014842,-0.0032246,-6.34E-05,0.0015786,-0.0023146,0.0062988,0.018236299,0.0011104,0,0,0.005,0.0345,0.0037,0.01,0.0251,0.2709,0.3138,0.3131,0.26025,0.29505,0.2849,0.081100004,-0.715338702,0.498208458,0.000347121
Total CIS,0.002097,0.002097,0.002097,0.002097,0.002097,-0.978634,0.000547,1.814.390.373,260.380.773,2.604.610.959,2.539.447.893,2.535.290.477,2.447.779.187,2.460.307.521,2.922.906.233,38.139.366,4.797.577.616,4.754.892.314,3.730.567.833,3.744.747.315,4.529.572.058,4.610.272.362,392.687.794,4.471.598.204,4.583.926.104,4.655.525.081,452.746.092,443.865.352,4.661.538.701,5.266.503.316,5.019.462.629,4.714.169.061,4.738.794.078,-0.045116738,2.307.848.218,-5.215.281.594,0,0.009877953
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.791,-0.758,0.103821494,-0.111677684,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Middle East,0.053,0.1362,0.148097,0.056597,0.1895582,0.0022582,0.0062582,-0.0017418,9.70E-05,-0.0007418,0.004097,9.70E-05,-0.0037418,0.0402582,0.1122582,0.1157746,0.063194,0.0770328,0.0677746,0.1020328,0.1124522,0,0,0,0.002,0.054,0,0,1.80E-05,0.000222,0.00221,0.003,0,0,0,0,0,0
Total Middle East,0.053,0.1362,0.148097,0.056597,0.1895582,0.0022582,0.0062582,-0.0017418,9.70E-05,-0.0007418,0.004097,9.70E-05,-0.0037418,0.0402582,0.1122582,0.1157746,0.063194,0.0770328,0.0677746,0.1020328,0.1124522,0,0,0,0.002,0.054,0,0,1.80E-05,-2.078.878,-0.75579,0.106821494,-0.111677684,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305077,0,0,0,0,0,0
