Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,4.924.317.048,5.239.094.893,548.021.397,5.836.056.241,618.595.265,6.624.581.111,6.831.992.434,7.348.641.542,7.857.611.557,8.099.353.899,7.956.117.337,8.439.991.487,8.936.246.164,9.054.126.246,9.326.797.594,9.518.029.261,94.088.923,9.090.671.025,9.028.668.048,9.615.311.746,9.921.055.951,9.946.250.275,1.028.827.606,1.070.825.968,1.081.539.311,1.061.927.263,106.407.444,1.090.595.461,1.114.900.295,1.156.237.775,1.180.898.057,1.213.633.564,1.222.987.395,1.206.116.802,1.244.544.483,1.280.838.444,1.249.724.486,1.288.171.351,1.293.869.245,1.309.208.902,1.322.634.436,130.556.942,135.152.397,1.346.220.554,1.273.585.736,1.300.650.095,1.360.514.367,1.346.847.425,1.388.179.051,1.403.196.368,1.399.365.026,1.393.667.818,1.410.948.202,1.434.953.417,1.421.405.757,-0.009441185,0.006403547,0.024343351
Mexico,1.050.252.713,1.111.571.584,1.132.470.268,1.232.996.553,1.353.689.335,1.444.834.071,1.519.983.611,1.680.465.957,1.812.694.531,1.996.772.199,2.134.191.159,2.270.718.536,2.394.828.261,269.844.411,2.983.510.074,325.165.851,3.591.403.634,3.744.463.175,3.703.859.845,3.875.440.391,4.065.132.934,3.947.957.554,4.079.445.318,4.108.589.081,4.337.943.074,4.564.141.535,4.741.419.433,4.823.497.015,4.848.054.439,5.127.171.824,504.618.805,5.205.132.773,5.294.514.662,5.530.348.362,5.599.980.234,586.144.171,5.789.725.902,5.978.006.644,6.027.918.284,6.352.661.472,6.760.528.151,6.974.474.415,701.077.296,7.157.985.196,7.101.147.062,730.895.117,7.660.040.872,7.705.558.421,7.738.308.624,7.697.182.235,7.688.300.012,7.785.419.361,7.895.340.852,7.833.321.661,7.720.742.455,-0.014371835,0.009056575,0.013222737
United States,5.243.379.507,55.383.038,5.731.177.572,6.079.909.426,6.404.961.231,6.621.550.766,6.759.194.363,7.106.433.022,739.848.754,7.212.094.639,70.361.606,7.419.373.886,7.614.413.312,7.648.907.002,7.739.115.848,7.458.291.801,7.239.532.948,6.937.762.594,690.705.806,7.274.461.609,7.256.411.357,7.300.463.311,7.547.505.986,7.893.009.067,8.081.017.795,8.099.330.473,8.087.997.296,8.209.209.479,8.380.575.879,8.536.585.126,8.720.019.381,9.012.748.937,908.122.312,9.140.875.642,9.302.682.379,9.513.879.198,9.289.452.493,9.423.901.794,9.453.503.322,9.639.671.419,9.643.731.384,9.565.836.227,9.699.645.751,9.460.071.171,8.992.401.795,9.297.258.881,9.208.836.192,8.968.776.503,9.209.548.018,9.305.416.796,9.214.900.449,92.017.799,9.233.052.485,9.560.291.901,9.464.880.404,-0.009979977,0.001054391,0.16209791
Total North America,5.840.836.483,6.173.370.448,6.392.445.996,6.786.814.705,7.158.925.429,7.428.492.284,7.594.391.967,8.009.343.772,8.365.518.148,8.221.707.249,804.519.145,8.490.444.888,8.747.520.755,8.824.164.038,8.970.146.614,8.735.260.578,8.539.562.542,8.221.276.014,818.031.085,8.623.536.823,8.655.030.245,8.689.884.094,8.984.278.123,9.374.693.943,9.596.351.413,961.767.189,9.626.213.679,9.782.154.641,9.980.281.618,1.020.554.008,1.040.553.624,1.074.689.578,1.083.366.198,1.090.002.728,1.110.722.489,1.138.086.181,1.111.814.957,1.130.987.381,113.501.644,1.158.414.647,1.164.241.864,1.156.885.309,1.175.224.702,1.152.209.024,1.097.610.224,1.132.880.409,1.133.535.465,1.108.617.977,1.137.155.793,1.147.833.139,1.138.309.548,1.137.398.965,1.143.353.477,1.177.857.748,1.165.836.041,-0.010206417,0.002204058,0.199663998
Argentina,1.127.632.035,1.165.107.753,1.199.725.304,1.241.233.915,1.283.912.396,1.212.762.252,1.288.378.183,1.311.442.229,1.367.910.352,1.427.536.126,1.391.643.571,1.467.458.766,1.533.067.686,1.564.007.886,1.658.750.857,165.721.831,1.597.686.773,1.636.029.608,1.709.184.684,170.621.337,1.664.835.163,1.837.627.039,192.056.626,1.946.309.171,1.866.938.918,1.847.543.731,1.868.739.457,2.010.106.036,2.074.925.875,2.113.357.748,2.198.852.255,2.354.999.268,2.341.980.694,2.427.772.529,2.374.160.472,2.470.051.807,2.442.824.838,2.325.704.485,2.495.103.102,262.810.444,2.802.798,2.944.828.436,3.074.790.946,3.127.156.373,3.066.804.066,3.227.137.493,3.289.075.815,338.287.153,3.524.576.544,3.506.861.477,3.585.803.292,3.576.195.298,3.566.919.874,3.540.866.279,3.462.769.372,-0.022055876,0.01250224,0.005930425
Brazil,0.969469372,1.057.604.646,1.095.653.143,1.252.840.021,1.367.831.549,158.581.664,1.734.259.098,1.997.879.748,2.382.002.142,2.602.140.444,2.749.246.067,3.019.283.714,3.226.588.976,3.556.023.677,3.849.862.497,392.791.043,3.829.311.694,4.019.244.408,409.874.969,4.400.627.743,4.685.955.694,4.996.394.972,5.145.734.872,5.342.259.319,5.449.779.582,5.359.907.432,5.565.708.435,5.825.753.708,6.086.154.841,6.395.972.193,6.715.675.505,7.090.972.202,7.496.064.001,7.769.721.293,790.875.791,8.042.012.273,7.884.190.467,8.070.208.849,8.212.964.289,8.614.360.295,8.858.006.246,9.079.154.731,9.634.607.628,1.005.961.618,9.978.517.885,10.981.271,1.148.270.458,1.168.826.134,1.213.048.278,1.240.146.583,1.223.342.184,1.191.851.961,120.637.012,121.343.117,1.240.343.434,0.022178649,0.018927711,0.021242432
Chile,0.260339187,0.279120838,0.284559508,0.283866477,0.305712253,0.322666348,0.348804102,0.360137508,0.346330769,0.342570424,0.308504314,0.324363283,0.336391376,0.356154772,0.36805054,0.380041334,0.389954395,0.356839373,0.366581377,0.383551178,0.388930172,0.406361048,0.426337909,0.476006022,0.525161096,0.553244784,0.619855345,0.685697772,0.725102282,0.76210955,0.82136482,0.871562872,0.996989505,1.001.298.747,1.044.292.149,1.104.103.691,1.111.520.715,1.150.410.649,1.143.801.721,1.202.009.759,1.249.035.388,1.333.732.346,1.362.657.868,1.350.649.531,1.322.719.152,132.850.943,1.444.337.333,1.476.471.854,1.491.113.297,1.462.468.985,1.495.262.464,1.568.793.154,1.579.807.877,1.660.677.183,1.655.823.236,-0.002922872,0.020878963,0.002835804
Colombia,0.317744519,0.346223801,0.368582541,0.388301647,0.395001562,0.430934401,0.423545908,0.475754463,0.475069214,0.53235722,0.543324906,0.566000184,0.578851691,0.619189685,0.657769701,0.669011642,0.684903622,0.716202295,0.752742702,0.772792207,0.80340536,0.829610414,0.90201676,0.90265726,0.949785031,0.888218732,0.922536753,0.964932126,1.062.360.771,1.140.613.347,1.158.313.796,1.188.031.136,1.222.771.688,1.229.895.571,1.137.617.475,1.108.613.763,1.090.801.699,1.086.754.151,1.125.048.236,1.144.893.656,1.147.210.086,1.286.052.091,1.290.540.582,1.393.966.742,1.329.596.055,1.423.127.707,1.488.176.116,1.592.518.754,1.614.539.288,1.702.195.142,1.712.034.092,1.806.922.539,1.839.198.318,1.852.364.392,192.423.813,0.038801079,0.028838959,0.003295498
Ecuador,0.031004295,0.032621098,0.035292123,0.041699712,0.044294983,0.052921601,0.058149009,0.060766101,0.065066407,0.075953428,0.076844726,0.084658733,0.100776332,0.105271936,0.109695521,0.13918268,0.154495622,0.169747176,0.165709311,0.183568864,0.217370336,0.227472623,0.234167076,0.270742945,0.279215004,0.288306832,0.318681332,0.317100339,0.328281721,0.356911903,0.338001891,0.384378266,0.428558267,0.430807892,0.392157084,0.369895279,0.375131561,0.369921024,0.376069875,0.405860248,0.43003512,0.454743526,0.477220368,0.507444022,0.496982761,0.552558449,0.584999688,0.617687161,0.638394241,0.670510125,0.667567339,0.663681918,0.687475693,0.726228551,0.744283044,0.024860622,0.036498118,0.001274678
