,Country,Years,Renewable share electricity production
0,Germany,2000.0,6.89
1,United States,2000.0,8.81
2,China,2000.0,16.64
3,India,2000.0,13.59
4,Germany,2001.0,7.23
5,United States,2001.0,7.42
6,China,2001.0,18.96
7,India,2001.0,13.21
8,Germany,2002.0,8.39
9,United States,2002.0,9.2
10,China,2002.0,17.62
11,India,2002.0,12.06
12,Germany,2003.0,8.34
13,United States,2003.0,9.49
14,China,2003.0,15.04
15,India,2003.0,13.47
16,Germany,2004.0,10.2
17,United States,2004.0,9.22
18,China,2004.0,16.22
19,India,2004.0,14.48
20,Germany,2005.0,11.13
21,United States,2005.0,9.12
22,China,2005.0,16.18
23,India,2005.0,16.62
24,Germany,2006.0,12.26
25,United States,2006.0,9.79
26,China,2006.0,15.59
27,India,2006.0,17.54
28,Germany,2007.0,14.87
29,United States,2007.0,8.91
30,China,2007.0,15.26
31,India,2007.0,17.86
32,Germany,2008.0,15.5
33,United States,2008.0,9.53
34,China,2008.0,17.74
35,India,2008.0,16.51
36,Germany,2009.0,16.87
37,United States,2009.0,10.78
38,China,2009.0,17.86
39,India,2009.0,15.66
40,Germany,2010.0,17.57
41,United States,2010.0,10.61
42,China,2010.0,18.83
43,India,2010.0,16.04
44,Germany,2011.0,21.14
45,United States,2011.0,12.69
46,China,2011.0,16.95
47,India,2011.0,17.32
48,Germany,2012.0,23.75
49,United States,2012.0,12.41
50,China,2012.0,20.12
51,India,2012.0,15.73
52,Germany,2013.0,24.76
53,United States,2013.0,13.03
54,China,2013.0,20.45
55,India,2013.0,17.35
56,Germany,2014.0,26.82
57,United States,2014.0,13.36
58,China,2014.0,22.79
59,India,2014.0,16.25
60,Germany,2015.0,29.88
61,United States,2015.0,13.63
62,China,2015.0,24.13
63,India,2015.0,15.34
64,Germany,2016.0,30.02
65,United States,2016.0,15.42
66,China,2016.0,25.4
67,India,2016.0,15.49
68,Germany,2017.0,33.98
69,United States,2017.0,17.66
70,China,2017.0,25.97
71,India,2017.0,16.29
