,Country,Years,Wind and solar share electricity production
0,Germany,2000.0,1.63
1,United States,2000.0,0.52
2,China,2000.0,0.06
3,India,2000.0,0.3
4,Germany,2001.0,1.8
5,United States,2001.0,0.56
6,China,2001.0,0.06
7,India,2001.0,0.38
8,Germany,2002.0,2.73
9,United States,2002.0,0.66
10,China,2002.0,0.06
11,India,2002.0,0.44
12,Germany,2003.0,3.47
13,United States,2003.0,0.69
14,China,2003.0,0.06
15,India,2003.0,0.55
16,Germany,2004.0,4.56
17,United States,2004.0,0.75
18,China,2004.0,0.07
19,India,2004.0,0.66
20,Germany,2005.0,5.1
21,United States,2005.0,0.85
22,China,2005.0,0.09
23,India,2005.0,0.87
24,Germany,2006.0,5.74
25,United States,2006.0,1.06
26,China,2006.0,0.14
27,India,2006.0,1.26
28,Germany,2007.0,7.05
29,United States,2007.0,1.25
30,China,2007.0,0.18
31,India,2007.0,1.44
32,Germany,2008.0,7.37
33,United States,2008.0,1.73
34,China,2008.0,0.44
35,India,2008.0,1.65
36,Germany,2009.0,7.95
37,United States,2009.0,2.25
38,China,2009.0,0.74
39,India,2009.0,2.06
40,Germany,2010.0,8.19
41,United States,2010.0,2.75
42,China,2010.0,1.08
43,India,2010.0,2.02
44,Germany,2011.0,11.55
45,United States,2011.0,3.43
46,China,2011.0,1.55
47,India,2011.0,2.36
48,Germany,2012.0,12.56
49,United States,2012.0,4.06
50,China,2012.0,2.05
51,India,2012.0,2.87
52,Germany,2013.0,13.24
53,United States,2013.0,4.84
54,China,2013.0,2.88
55,India,2013.0,3.07
56,Germany,2014.0,15.22
57,United States,2014.0,5.34
58,China,2014.0,3.27
59,India,2014.0,3.27
60,Germany,2015.0,18.53
61,United States,2015.0,5.86
62,China,2015.0,3.94
63,India,2015.0,3.5
64,Germany,2016.0,18.16
65,United States,2016.0,7.07
66,China,2016.0,5.18
67,India,2016.0,4.12
68,Germany,2017.0,22.25
69,United States,2017.0,8.41
70,China,2017.0,6.77
71,India,2017.0,5.11
