,Country,Year,Electricity generation (TWh)
0,China,2000,1355.6
1,China,2001,1480.8020000000001
2,China,2002,1654.0
3,China,2003,1910.575
4,China,2004,2203.31
5,China,2005,2500.26
6,China,2006,2865.7259999999997
7,China,2007,3281.553
8,China,2008,3495.76
9,China,2009,3714.651
10,China,2010,4207.16
11,China,2011,4713.019
12,China,2012,4987.553
13,China,2013,5431.635
14,China,2014,5794.456999999999
15,China,2015,5814.573
16,China,2016,6133.16
17,China,2017,6604.446999999999
18,China,2018,7166.133000000001
19,China,2019,7503.428000000001
20,Germany,2000,576.556
21,Germany,2001,586.4115
22,Germany,2002,586.688
23,Germany,2003,608.78
24,Germany,2004,617.4652
25,Germany,2005,622.575
26,Germany,2006,639.5665
27,Germany,2007,640.578
28,Germany,2008,640.686
29,Germany,2009,595.624
30,Germany,2010,633.0930000000001
31,Germany,2011,613.070326
32,Germany,2012,630.149
33,Germany,2013,638.73
34,Germany,2014,627.7651017999999
35,Germany,2015,648.1492806
36,Germany,2016,650.707344
37,Germany,2017,653.6547
38,Germany,2018,643.45
39,Germany,2019,612.3973249
40,India,2000,571.3939361
41,India,2001,586.0927383999999
42,India,2002,609.6504786
43,India,2003,638.1310102000001
44,India,2004,698.300975
45,India,2005,704.5093182
46,India,2006,744.4262522999999
47,India,2007,796.265175
48,India,2008,828.4135525
49,India,2009,879.70725
50,India,2010,937.4680375
51,India,2011,1034.011325
52,India,2012,1091.837883
53,India,2013,1146.139133
54,India,2014,1262.2199679999999
55,India,2015,1317.2981300000001
56,India,2016,1401.741765
57,India,2017,1473.759284
58,India,2018,1551.4415
59,India,2019,1558.708662
60,United States,2000,4052.253106
61,United States,2001,3984.46789
62,United States,2002,4111.775538
63,United States,2003,4137.978842
64,United States,2004,4231.682747
65,United States,2005,4322.786632
66,United States,2006,4330.951641
67,United States,2007,4431.837021
68,United States,2008,4390.106117
69,United States,2009,4206.493361
70,United States,2010,4394.250985000001
71,United States,2011,4363.377155
72,United States,2012,4310.569202000001
73,United States,2013,4330.292888
74,United States,2014,4363.3264070000005
75,United States,2015,4348.66944
76,United States,2016,4347.910814
77,United States,2017,4302.539017
78,United States,2018,4457.415464
79,United States,2019,4401.299402000001
