,Country,Year,Electricity generation from other (TWh)
0,China,2000,0.0036872
1,China,2001,0.0023076
2,China,2002,0.0061278
3,China,2003,0.0078946
4,China,2004,0.0
5,China,2005,0.0
6,China,2006,0.0
7,China,2007,0.0
8,China,2008,0.0
9,China,2009,0.0
10,China,2010,19.851860000000002
11,China,2011,21.669
12,China,2012,20.279889999999998
13,China,2013,22.9827266
14,China,2014,26.14633
15,China,2015,26.783590000000004
16,China,2016,42.1935
17,China,2017,46.185796
18,China,2018,49.79163345
19,China,2019,56.52613264
20,Germany,2000,21.27425
21,Germany,2001,21.2795
22,Germany,2002,18.62625
23,Germany,2003,20.305999999999997
24,Germany,2004,21.2268
25,Germany,2005,24.1468
26,Germany,2006,25.4006
27,Germany,2007,26.5586
28,Germany,2008,24.7124
29,Germany,2009,21.1252
30,Germany,2010,26.4293
31,Germany,2011,25.3062
32,Germany,2012,26.1096
33,Germany,2013,26.18
34,Germany,2014,26.913
35,Germany,2015,27.13520869
36,Germany,2016,27.543000000000003
37,Germany,2017,26.7438
38,Germany,2018,26.848000000000003
39,Germany,2019,25.731343399999997
40,India,2000,0.0
41,India,2001,0.0
42,India,2002,0.0
43,India,2003,0.0
44,India,2004,0.0
45,India,2005,0.0
46,India,2006,0.0
47,India,2007,0.0
48,India,2008,0.0
49,India,2009,0.0
50,India,2010,0.0
51,India,2011,0.0
52,India,2012,0.0
53,India,2013,0.0
54,India,2014,0.2068
55,India,2015,0.137685
56,India,2016,0.10410499999999999
57,India,2017,0.174565
58,India,2018,0.20623000000000002
59,India,2019,0.191505
60,United States,2000,18.0309984
61,United States,2001,12.22713092
62,United States,2002,13.97548879
63,United States,2003,14.545181
64,United States,2004,14.75084734
65,United States,2005,13.35915624
66,United States,2006,13.52413552
67,United States,2007,12.7020304
68,United States,2008,12.28199821
69,United States,2009,12.52409457
70,United States,2010,13.46426351
71,United States,2011,14.80104819
72,United States,2012,14.50250746
73,United States,2013,14.30566562
74,United States,2014,14.07183718
75,United States,2015,14.75186233
76,United States,2016,14.35359482
77,United States,2017,13.68882154
78,United States,2018,13.61973135
79,United States,2019,13.960466699999998
