,Country,Year,Primary Energy: Consumption (EJ)
0,China,2000,42.45316142
1,China,2001,44.8419766
2,China,2002,48.84460713
3,China,2003,56.87522175
4,China,2004,66.54571613
5,China,2005,75.60172011
6,China,2006,82.8805339
7,China,2007,90.08781938
8,China,2008,93.44496937
9,China,2009,97.52314741
10,China,2010,104.2840024
11,China,2011,112.54080829999998
12,China,2012,117.04535020000002
13,China,2013,121.37465690000002
14,China,2014,124.19793290000001
15,China,2015,125.3768906
16,China,2016,126.9507368
17,China,2017,130.8317338
18,China,2018,135.7706969
19,China,2019,141.699218
20,Germany,2000,14.30741212
21,Germany,2001,14.56011357
22,Germany,2002,14.36718806
23,Germany,2003,14.3533407
24,Germany,2004,14.33946814
25,Germany,2005,14.165917199999999
26,Germany,2006,14.51322843
27,Germany,2007,13.89002168
28,Germany,2008,14.02825473
29,Germany,2009,13.15429711
30,Germany,2010,13.70618966
31,Germany,2011,13.20216248
32,Germany,2012,13.36885139
33,Germany,2013,13.74595931
34,Germany,2014,13.16627917
35,Germany,2015,13.39985761
36,Germany,2016,13.61972299
37,Germany,2017,13.78398327
38,Germany,2018,13.43934242
39,Germany,2019,13.13989997
40,India,2000,13.34155797
41,India,2001,13.41095659
42,India,2002,14.02856838
43,India,2003,14.56802106
44,India,2004,15.6296614
45,India,2005,16.56290826
46,India,2006,17.41017417
47,India,2007,18.92910864
48,India,2008,20.00481722
49,India,2009,21.52434691
50,India,2010,22.55470758
51,India,2011,23.88045003
52,India,2012,25.11341421
53,India,2013,26.076945199999997
54,India,2014,27.86167507
55,India,2015,28.77081861
56,India,2016,30.06742863
57,India,2017,31.33455098
58,India,2018,33.30179358
59,India,2019,34.05951446
60,United States,2000,95.13879198
61,United States,2001,92.89452493
62,United States,2002,94.23901794
63,United States,2003,94.53503322
64,United States,2004,96.39671419
65,United States,2005,96.43731384
66,United States,2006,95.65836227
67,United States,2007,96.99645751
68,United States,2008,94.60071171
69,United States,2009,89.92401795
70,United States,2010,92.97258881
71,United States,2011,92.08836192
72,United States,2012,89.68776503
73,United States,2013,92.09548018
74,United States,2014,93.05416796
75,United States,2015,92.14900449
76,United States,2016,92.017799
77,United States,2017,92.33052485
78,United States,2018,95.60291901
79,United States,2019,94.64880404
