,Country,Year,Renewable Energy Solar (Installed capacity) (MW)
0,China,2000,33.515
1,China,2001,38.02
2,China,2002,56.53
3,China,2003,66.6
4,China,2004,76.6
5,China,2005,141.2
6,China,2006,160.2
7,China,2007,199.0
8,China,2008,253.0
9,China,2009,414.8
10,China,2010,1021.8
11,China,2011,3107.8
12,China,2012,6718.8
13,China,2013,17758.8
14,China,2014,28398.8
15,China,2015,43548.8
16,China,2016,77808.8
17,China,2017,130822.29
18,China,2018,175236.86399999997
19,China,2019,205493.165
20,Germany,2000,114.0
21,Germany,2001,195.0
22,Germany,2002,260.0
23,Germany,2003,435.0
24,Germany,2004,1105.0
25,Germany,2005,2056.0
26,Germany,2006,2899.0
27,Germany,2007,4170.0
28,Germany,2008,6120.0
29,Germany,2009,10567.0
30,Germany,2010,18007.0
31,Germany,2011,25917.0
32,Germany,2012,34077.0
33,Germany,2013,36711.0
34,Germany,2014,37900.0
35,Germany,2015,39224.0
36,Germany,2016,40679.0
37,Germany,2017,42293.0
38,Germany,2018,45181.0
39,Germany,2019,48962.0
40,India,2000,0.0
41,India,2001,1.1
42,India,2002,5.5
43,India,2003,6.7
44,India,2004,7.9
45,India,2005,7.8
46,India,2006,11.6
47,India,2007,9.6
48,India,2008,25.1
49,India,2009,27.7
50,India,2010,39.4
51,India,2011,65.4
52,India,2012,565.8
53,India,2013,926.0
54,India,2014,3672.508
55,India,2015,5593.484
56,India,2016,9879.021
57,India,2017,18151.756
58,India,2018,27355.324
59,India,2019,35059.884
60,United States,2000,18.5
61,United States,2001,21.9
62,United States,2002,28.0
63,United States,2003,73.0
64,United States,2004,111.0
65,United States,2005,190.0
66,United States,2006,295.0
67,United States,2007,455.0
68,United States,2008,753.0
69,United States,2009,1188.0
70,United States,2010,2040.0
71,United States,2011,3382.0
72,United States,2012,7328.0
73,United States,2013,13045.0
74,United States,2014,17651.0
75,United States,2015,23442.0
76,United States,2016,34716.0
77,United States,2017,43115.0
78,United States,2018,53183.5
79,United States,2019,62297.9
