,Country,Year,Renewable Energy Wind  (Installed capacity) (MW)
0,China,2000,341.0
1,China,2001,383.0
2,China,2002,449.0
3,China,2003,547.0
4,China,2004,763.0
5,China,2005,1060.0
6,China,2006,2070.0
7,China,2007,4200.0
8,China,2008,8387.728000000001
9,China,2009,17599.408
10,China,2010,29633.478
11,China,2011,46354.6
12,China,2012,61596.873
13,China,2013,76730.53
14,China,2014,96819.13
15,China,2015,131047.73
16,China,2016,148516.89
17,China,2017,164374.47699999998
18,China,2018,184664.87699999998
19,China,2019,210478.38
20,Germany,2000,6095.0
21,Germany,2001,8754.0
22,Germany,2002,12001.0
23,Germany,2003,14381.0
24,Germany,2004,16419.0
25,Germany,2005,18248.0
26,Germany,2006,20474.0
27,Germany,2007,22116.0
28,Germany,2008,22794.0
29,Germany,2009,25732.0
30,Germany,2010,26903.0
31,Germany,2011,28712.0
32,Germany,2012,30979.0
33,Germany,2013,33477.0
34,Germany,2014,38614.0
35,Germany,2015,44580.0
36,Germany,2016,49435.0
37,Germany,2017,55580.0
38,Germany,2018,58843.0
39,Germany,2019,60822.0
40,India,2000,1267.0
41,India,2001,1456.0
42,India,2002,1702.0
43,India,2003,2125.0
44,India,2004,3000.0
45,India,2005,4433.9
46,India,2006,6315.0
47,India,2007,7844.5
48,India,2008,10242.5
49,India,2009,10925.0
50,India,2010,13184.0
51,India,2011,16179.0
52,India,2012,17299.7
53,India,2013,18420.4
54,India,2014,22465.3
55,India,2015,25088.19
56,India,2016,28700.44
57,India,2017,32848.46
58,India,2018,35288.1
59,India,2019,37505.18
60,United States,2000,2377.0
61,United States,2001,3864.0
62,United States,2002,4417.0
63,United States,2003,5995.0
64,United States,2004,6456.0
65,United States,2005,8706.0
66,United States,2006,11329.0
67,United States,2007,16515.0
68,United States,2008,24651.0
69,United States,2009,34296.0
70,United States,2010,39135.0
71,United States,2011,45676.0
72,United States,2012,59075.0
73,United States,2013,59973.0
74,United States,2014,64232.0
75,United States,2015,72573.02
76,United States,2016,81286.0
77,United States,2017,87597.0
78,United States,2018,94417.4
79,United States,2019,103584.2
