,Country,Year,Electricity Production (TWh)
0,China,2000,1356
1,China,2001,1481
2,China,2002,1654
3,China,2003,1911
4,China,2004,2204
5,China,2005,2500
6,China,2006,2866
7,China,2007,3282
8,China,2008,3467
9,China,2009,3715
10,China,2010,4208
11,China,2011,4716
12,China,2012,4994
13,China,2013,5447
14,China,2014,5679
15,China,2015,5860
16,China,2016,6165
17,China,2017,6529
18,Germany,2000,577
19,Germany,2001,586
20,Germany,2002,587
21,Germany,2003,609
22,Germany,2004,617
23,Germany,2005,623
24,Germany,2006,639
25,Germany,2007,641
26,Germany,2008,640
27,Germany,2009,596
28,Germany,2010,633
29,Germany,2011,613
30,Germany,2012,630
31,Germany,2013,639
32,Germany,2014,628
33,Germany,2015,647
34,Germany,2016,648
35,Germany,2017,653
36,India,2000,570
37,India,2001,588
38,India,2002,611
39,India,2003,651
40,India,2004,684
41,India,2005,716
42,India,2006,774
43,India,2007,824
44,India,2008,848
45,India,2009,917
46,India,2010,979
47,India,2011,1075
48,India,2012,1123
49,India,2013,1191
50,India,2014,1294
51,India,2015,1383
52,India,2016,1463
53,India,2017,1541
54,United States,2000,4053
55,United States,2001,3865
56,United States,2002,4051
57,United States,2003,4082
58,United States,2004,4175
59,United States,2005,4294
60,United States,2006,4301
61,United States,2007,4350
62,United States,2008,4368
63,United States,2009,4188
64,United States,2010,4378
65,United States,2011,4349
66,United States,2012,4291
67,United States,2013,4306
68,United States,2014,4339
69,United States,2015,4317
70,United States,2016,4316
71,United States,2017,4251
