,Country,Year,Renewable share electricity production (%)
0,China,2000,16.64
1,China,2001,18.96
2,China,2002,17.62
3,China,2003,15.04
4,China,2004,16.22
5,China,2005,16.18
6,China,2006,15.59
7,China,2007,15.26
8,China,2008,17.74
9,China,2009,17.86
10,China,2010,18.83
11,China,2011,16.95
12,China,2012,20.12
13,China,2013,20.45
14,China,2014,22.79
15,China,2015,24.13
16,China,2016,25.4
17,China,2017,25.97
18,Germany,2000,6.89
19,Germany,2001,7.23
20,Germany,2002,8.39
21,Germany,2003,8.34
22,Germany,2004,10.2
23,Germany,2005,11.13
24,Germany,2006,12.26
25,Germany,2007,14.87
26,Germany,2008,15.5
27,Germany,2009,16.87
28,Germany,2010,17.57
29,Germany,2011,21.14
30,Germany,2012,23.75
31,Germany,2013,24.76
32,Germany,2014,26.82
33,Germany,2015,29.88
34,Germany,2016,30.02
35,Germany,2017,33.98
36,India,2000,13.59
37,India,2001,13.21
38,India,2002,12.06
39,India,2003,13.47
40,India,2004,14.48
41,India,2005,16.62
42,India,2006,17.54
43,India,2007,17.86
44,India,2008,16.51
45,India,2009,15.66
46,India,2010,16.04
47,India,2011,17.32
48,India,2012,15.73
49,India,2013,17.35
50,India,2014,16.25
51,India,2015,15.34
52,India,2016,15.49
53,India,2017,16.29
54,United States,2000,8.81
55,United States,2001,7.42
56,United States,2002,9.2
57,United States,2003,9.49
58,United States,2004,9.22
59,United States,2005,9.12
60,United States,2006,9.79
61,United States,2007,8.91
62,United States,2008,9.53
63,United States,2009,10.78
64,United States,2010,10.61
65,United States,2011,12.69
66,United States,2012,12.41
67,United States,2013,13.03
68,United States,2014,13.36
69,United States,2015,13.63
70,United States,2016,15.42
71,United States,2017,17.66
