,Country,Year,Renewable installed Wind Power (GW)
0,China,2000,0.35200000000000004
1,China,2001,0.406
2,China,2002,0.473
3,China,2003,0.568
4,China,2004,0.764
5,China,2005,1.26
6,China,2006,2.6039999999999996
7,China,2007,5.906000000000001
8,China,2008,12.21
9,China,2009,25.805
10,China,2010,42.287
11,China,2011,62.733000000000004
12,China,2012,75.324
13,China,2013,91.412
14,China,2014,114.76299999999999
15,China,2015,145.36
16,China,2016,168.69
17,China,2017,187.73
18,China,2018,210.25
19,China,2019,236.4
20,Germany,2000,6.1129999999999995
21,Germany,2001,8.734
22,Germany,2002,12.001
23,Germany,2003,14.609000000000002
24,Germany,2004,16.629
25,Germany,2005,18.428
26,Germany,2006,20.622
27,Germany,2007,22.247
28,Germany,2008,23.901999999999997
29,Germany,2009,25.776999999999997
30,Germany,2010,27.214000000000002
31,Germany,2011,29.06
32,Germany,2012,31.27
33,Germany,2013,34.25
34,Germany,2014,39.165
35,Germany,2015,44.941
36,Germany,2016,50.018
37,Germany,2017,56.163999999999994
38,Germany,2018,59.31
39,Germany,2019,61.4
40,India,2000,1.22
41,India,2001,1.456
42,India,2002,1.702
43,India,2003,2.11
44,India,2004,3.0
45,India,2005,4.43
46,India,2006,6.27
47,India,2007,7.845
48,India,2008,9.655
49,India,2009,10.925999999999998
50,India,2010,13.065
51,India,2011,16.084
52,India,2012,18.421
53,India,2013,20.15
54,India,2014,22.465
55,India,2015,25.088
56,India,2016,28.7
57,India,2017,32.879
58,India,2018,35.13
59,India,2019,37.51
60,United States,2000,2.61
61,United States,2001,4.245
62,United States,2002,4.6739999999999995
63,United States,2003,6.374
64,United States,2004,6.725
65,United States,2005,9.149
66,United States,2006,11.603
67,United States,2007,16.664
68,United States,2008,25.17
69,United States,2009,35.068000000000005
70,United States,2010,40.18
71,United States,2011,46.919
72,United States,2012,60.007
73,United States,2013,61.11
74,United States,2014,65.87899999999999
75,United States,2015,73.991
76,United States,2016,82.184
77,United States,2017,88.927
78,United States,2018,96.52
79,United States,2019,105.57
