,Country,Year,NEX Returns
0,China,2000,0.0
1,China,2001,0.0
2,China,2002,0.0
3,China,2003,0.0
4,China,2004,0.0
5,China,2005,0.0
6,China,2006,0.0
7,China,2007,0.0
8,China,2008,0.0
9,China,2009,0.0
10,China,2010,1126.5517241379312
11,China,2011,-55.58054540342986
12,China,2012,-31.45569620253166
13,China,2013,662.3884272083718
14,China,2014,-19.418651594670955
15,China,2015,26.678356713426844
16,China,2016,-27.862368993474394
17,China,2017,65.73464912280701
18,China,2018,-27.237843202117105
19,China,2019,85.66102927805055
20,Germany,2000,0.0
21,Germany,2001,773.9002932551319
22,Germany,2002,-64.87695749440716
23,Germany,2003,-71.56050955414013
24,Germany,2004,-18.477043673012304
25,Germany,2005,-17.170329670329686
26,Germany,2006,1101.6583747927034
27,Germany,2007,15.48440518906984
28,Germany,2008,-62.380497131931165
29,Germany,2009,792.6302414231259
30,Germany,2010,-23.202846975088963
31,Germany,2011,-33.9318813716404
32,Germany,2012,-46.29142556549185
33,Germany,2013,40.25465230166505
34,Germany,2014,-14.967411545623854
35,Germany,2015,167.88940596769777
36,Germany,2016,-38.65726548129982
37,Germany,2017,6.063634849242039
38,Germany,2018,-40.63138055599184
39,Germany,2019,94.07407407407409
40,India,2000,0.0
41,India,2001,0.0
42,India,2002,0.0
43,India,2003,0.0
44,India,2004,0.0
45,India,2005,0.0
46,India,2006,0.0
47,India,2007,0.0
48,India,2008,0.0
49,India,2009,0.0
50,India,2010,0.0
51,India,2011,0.0
52,India,2012,0.0
53,India,2013,0.0
54,India,2014,0.0
55,India,2015,0.0
56,India,2016,0.0
57,India,2017,-16.470588235294127
58,India,2018,-36.267605633802816
59,India,2019,39.00552486187845
60,United States,2000,0.0
61,United States,2001,-46.30174479600171
62,United States,2002,-63.09166345249211
63,United States,2003,96.01035257349353
64,United States,2004,-5.93906176038268
65,United States,2005,1.7845526646452115
66,United States,2006,18.005000405944706
67,United States,2007,71.98906236217692
68,United States,2008,-54.92281417962499
69,United States,2009,6.509142335081264
70,United States,2010,-13.97861867405017
71,United States,2011,-57.96116649529854
72,United States,2012,23.366181040492506
73,United States,2013,73.76458813219227
74,United States,2014,-2.9764365440264395
75,United States,2015,-9.891066609856559
76,United States,2016,-9.51443517842817
77,United States,2017,65.65811751426602
78,United States,2018,-3.1408052322218993
79,United States,2019,68.0050154153459
