,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
0,China,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,China,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,China,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,China,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,China,2004,0.076,0.076,0.016,0.012,0.012,1.284,1.28,0.32,0.032,0.016,0.08800000000000001,0.204,0.34,0
5,China,2005,0.1,0.095,0.03,0.05,0.18000000000000002,2.5,2.49,0.505,0.18500000000000005,0.115,0.38,0.625,1.31,0
6,China,2006,0.11,0.11,0.06,0.145,0.4450000000000001,3.96,3.85,0.45,0.09000000000000001,0.13,0.515,0.935,1.67,1
7,China,2007,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.8340000000000001,0.198,0.234,1.188,1.7939999999999998,3.414,0
8,China,2008,0.196,0.231,0.231,0.4690000000000001,0.7350000000000001,9.345,9.037,1.554,0.35700000000000004,0.06300000000000001,1.155,2.506,4.081,1
9,China,2009,0.4320000000000001,0.264,0.128,0.24,0.936,8.943999999999999,8.648,2.776,0.152,0.192,1.7919999999999998,2.792,4.92,1
10,China,2010,0.441,0.342,0.234,0.47700000000000004,0.9540000000000001,13.698,13.536,5.481,0.171,0.43200000000000005,1.6829999999999998,2.88,5.156999999999999,6
11,China,2011,0.48,0.43,0.26,0.24,0.99,18.96,18.75,7.51,0.29,0.020000000000000004,2.9600000000000004,4.23,7.5,1
12,China,2012,0.517,0.451,0.264,0.17600000000000002,0.418,18.711,18.392,7.689000000000001,0.33,0.044,1.023,5.83,7.227,4
13,China,2013,0.624,0.48,0.096,0.156,1.176,20.58,20.436,4.824,0.06,0.204,1.944,5.843999999999999,8.04,5
14,China,2014,0.585,0.5589999999999999,0.13,0.221,1.9369999999999998,29.691999999999997,29.237,4.771000000000001,0.5329999999999999,0.208,1.456,9.347,11.544,3
15,China,2015,0.66,0.6149999999999999,0.21,0.27,1.7999999999999998,40.155,39.15,4.89,0.54,0.225,2.76,12.69,16.215,1
16,China,2016,0.7649999999999999,0.6449999999999999,0.12,0.255,0.93,37.125,36.51,4.875,0.48,0.96,4.425,14.22,20.085,3
17,China,2017,0.7649999999999999,1.035,0.12,0.105,0.84,40.89,40.455,6.375,1.59,0.42,1.995,17.939999999999994,21.93,2
18,China,2018,0.88,1.248,0.032,0.35200000000000004,0.96,38.72,37.792,6.112000000000001,2.08,0.016,2.336,19.808,24.24,3
19,China,2019,0.912,1.232,0.032,0.28800000000000003,1.056,36.816,36.272,8.336,0.512,0.0,2.192,13.408,16.112000000000002,0
20,Germany,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,Germany,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,Germany,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
