,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.
0,China,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,China,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,China,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,China,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,China,2004,0.076,0.076,0.016,0.012,0.012,1.284,1.28,0.32,0.032,0.016,0.08800000000000001,0.204,0.34
5,China,2005,0.1,0.095,0.03,0.05,0.18000000000000002,2.5,2.49,0.505,0.18500000000000003,0.11499999999999999,0.38,0.625,1.31
6,China,2006,0.11000000000000001,0.11000000000000001,0.06,0.145,0.44500000000000006,3.9600000000000004,3.85,0.45,0.09000000000000001,0.13,0.515,0.935,1.67
7,China,2007,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.834,0.19799999999999998,0.23399999999999999,1.188,1.7939999999999998,3.4139999999999997
8,China,2008,0.196,0.231,0.231,0.4690000000000001,0.7350000000000001,9.345,9.037,1.554,0.357,0.06300000000000001,1.155,2.5060000000000002,4.081
9,China,2009,0.43200000000000005,0.264,0.128,0.24,0.9359999999999999,8.944,8.648,2.7760000000000002,0.152,0.192,1.7919999999999998,2.792,4.92
10,China,2010,0.441,0.34199999999999997,0.23399999999999999,0.477,0.954,13.697999999999999,13.536,5.481,0.17099999999999999,0.432,1.6829999999999998,2.88,5.156999999999999
11,China,2011,0.48,0.43,0.26,0.24,0.9900000000000001,18.96,18.75,7.51,0.29,0.020000000000000004,2.9600000000000004,4.2299999999999995,7.5
12,China,2012,0.517,0.45099999999999996,0.264,0.17600000000000002,0.418,18.711,18.392,7.689000000000001,0.33,0.044000000000000004,1.0230000000000001,5.83,7.227
13,China,2013,0.624,0.48,0.096,0.156,1.176,20.58,20.436,4.824,0.06,0.204,1.944,5.844,8.04
14,China,2014,0.585,0.5589999999999999,0.13,0.221,1.937,29.692,29.237000000000002,4.771000000000001,0.5329999999999999,0.20800000000000002,1.456,9.347000000000001,11.544
15,China,2015,0.66,0.6149999999999999,0.21,0.27,1.7999999999999998,40.154999999999994,39.15,4.89,0.54,0.22499999999999998,2.76,12.69,16.215
16,China,2016,0.7649999999999999,0.6449999999999999,0.12,0.255,0.9299999999999999,37.125,36.51,4.875,0.48,0.96,4.425,14.219999999999999,20.085
17,China,2017,0.7649999999999999,1.035,0.12,0.105,0.84,40.89,40.455,6.375,1.5899999999999999,0.42,1.995,17.939999999999998,21.929999999999996
18,China,2018,0.88,1.248,0.032,0.35200000000000004,0.96,38.72,37.792,6.112000000000001,2.08,0.016,2.336,19.808,24.240000000000002
19,China,2019,0.912,1.232,0.032,0.28800000000000003,1.056,36.816,36.272,8.336,0.512,0.0,2.1919999999999997,13.408,16.112000000000002
20,Germany,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Germany,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Germany,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Germany,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Germany,2004,0.11399999999999999,0.11399999999999999,0.024,0.018,0.018,1.926,1.92,0.48,0.048,0.024,0.132,0.306,0.51
25,Germany,2005,0.12,0.11399999999999999,0.036,0.06,0.216,3.0,2.9879999999999995,0.606,0.222,0.13799999999999998,0.45599999999999996,0.75,1.5719999999999998
26,Germany,2006,0.132,0.132,0.072,0.174,0.534,4.752,4.62,0.54,0.108,0.156,0.618,1.1219999999999999,2.004
27,Germany,2007,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.834,0.19799999999999998,0.23399999999999999,1.188,1.7939999999999998,3.4139999999999997
28,Germany,2008,0.16799999999999998,0.19799999999999998,0.19799999999999998,0.40199999999999997,0.63,8.01,7.7459999999999996,1.3319999999999999,0.306,0.054,0.99,2.1479999999999997,3.4979999999999998
29,Germany,2009,0.324,0.19799999999999998,0.096,0.18,0.702,6.707999999999999,6.486,2.0820000000000003,0.11399999999999999,0.144,1.3439999999999999,2.094,3.69
30,Germany,2010,0.24500000000000002,0.19,0.13,0.265,0.53,7.609999999999999,7.5200000000000005,3.045,0.095,0.24,0.935,1.6,2.865
31,Germany,2011,0.24,0.215,0.13,0.12,0.49500000000000005,9.48,9.375,3.755,0.145,0.010000000000000002,1.4800000000000002,2.1149999999999998,3.75
32,Germany,2012,0.23500000000000001,0.205,0.12,0.08000000000000002,0.19,8.505,8.36,3.4950000000000006,0.15000000000000002,0.020000000000000004,0.4650000000000001,2.6500000000000004,3.285
33,Germany,2013,0.26,0.2,0.04000000000000001,0.065,0.49000000000000005,8.575000000000001,8.515,2.0100000000000002,0.025,0.085,0.81,2.4350000000000005,3.35
34,Germany,2014,0.225,0.215,0.05,0.085,0.7450000000000001,11.420000000000002,11.245000000000001,1.8350000000000002,0.205,0.08000000000000002,0.5599999999999999,3.5950000000000006,4.44
35,Germany,2015,0.17600000000000002,0.16399999999999998,0.055999999999999994,0.07200000000000001,0.48,10.708,10.44,1.304,0.14400000000000002,0.06,0.736,3.384,4.324
