Date,0968.HK,2208.HK,3868.HK,ACA,AMRC,AZRE,BE,BYDDF,CE2.DE,CREE,DQ,ENPH,FCEL,FSLR,HASI,ITRO,JKS,LAC,MAXN,NDX1.DE,NIO,NOVA,OLED,ORA,PLUG,PNE3.DE,REGI,RUN,S92.DE,SEDG,SPWR,TPIC,VBK.DE,VECO,WLDN,XPEV
2000-01-03,,,,,,,,,,41.97,,,870.75,,,,,,,,,,18.62,,270.0,,,,,,,,,46.98,,
2000-01-04,,,,,,,,,,38.28,,,819.0,,,,,,,,,,16.44,,257.5,,,,,,,,,45.5,,
2000-01-05,,,,,,,,,,37.44,,,810.0,,,,,,,,,,16.62,,295.0,,,,,,,,,42.06,,
2000-01-06,,,,,,,,,,33.34,,,864.0,,,,,,,,,,15.94,,362.5,,,,,,,,,40.0,,
2000-01-07,,,,,,,,,,37.03,,,1075.5,,,,,,,,,,16.81,,790.0,,,,,,,,,37.0,,
2000-01-10,,,,,,,,,,41.38,,,1264.5,,,,,,,,,,16.06,,588.12,,,,,,,,,38.38,,
2000-01-11,,,,,,,,,,39.78,,,1122.75,,,,,,,,,,14.25,,506.88,,,,,,,,,38.44,,
2000-01-12,,,,,,,,,,41.81,,,1071.0,,,,,,,,,,13.06,,568.75,,,,,,,,,43.62,,
2000-01-13,,,,,,,,,,42.59,,,1062.0,,,,,,,,,,12.62,,578.75,,,,,,,,,44.12,,
2000-01-14,,,,,,,,,,43.12,,,1077.75,,,,,,,,,,13.38,,550.0,,,,,,,,,45.62,,
2000-01-18,,,,,,,,,,45.34,,,1098.0,,,,,,,,,,14.0,,635.0,,,,,,,,,48.75,,
2000-01-19,,,,,,,,,,47.31,,,1350.0,,,,,,,,,,13.62,,777.5,,,,,,,,,48.94,,
2000-01-20,,,,,,,,,,49.62,,,1800.0,,,,,,,,,,14.0,,850.0,,,,,,,,,48.94,,
2000-01-21,,,,,,,,,,51.38,,,2016.0,,,,,,,,,,13.88,,1088.75,,,,,,,,,49.62,,
2000-01-24,,,,,,,,,,45.69,,,1656.0,,,,,,,,,,14.62,,1365.0,,,,,,,,,55.25,,
2000-01-25,,,,,,,,,,52.12,,,1575.0,,,,,,,,,,17.19,,1310.0,,,,,,,,,56.0,,
2000-01-26,,,,,,,,,,52.5,,,1534.5,,,,,,,,,,16.88,,1198.75,,,,,,,,,59.0,,
2000-01-27,,,,,,,,,,53.06,,,1534.5,,,,,,,,,,17.12,,989.38,,,,,,,,,58.0,,
2000-01-28,,,,,,,,,,50.25,,,1422.0,,,,,,,,,,15.62,,835.0,,,,,,,,,56.0,,
2000-01-31,,,,,,,,,,47.06,,,1350.0,,,,,,,,,,14.31,,937.5,,,,,,,,,54.88,,
2000-02-01,,,,,,,,,,52.56,,,1516.5,,,,,,,,,,15.12,,1134.38,,,,,,,,,58.75,,
2000-02-02,,,,,,,,,,60.0,,,1602.0,,,,,,,,,,16.75,,1030.0,,,,,,,,,58.31,,
2000-02-03,,,,,,,,,,69.5,,,1714.5,,,,,,,,,,16.38,,1110.0,,,,,,,,,60.5,,
2000-02-04,,,,,,,,,,71.66,,,1818.0,,,,,,,,,,15.44,,1150.0,,,,,,,,,61.38,,
2000-02-07,,,,,,,,,,75.34,,,1737.0,,,,,,,,,,15.0,,1090.0,,,,,,,,,61.06,,
2000-02-08,,,,,,,,,,71.41,,,1728.0,,,,,,,,,,14.88,,1130.0,,,,,,,,,64.5,,
2000-02-09,,,,,,,,,,71.5,,,1613.25,,,,,,,,,,14.09,,1115.0,,,,,,,,,60.62,,
2000-02-10,,,,,,,,,,80.25,,,1656.0,,,,,,,,,,15.12,,1091.25,,,,,,,,,59.31,,
2000-02-11,,,,,,,,,,80.16,,,1656.0,,,,,,,,,,14.88,,1121.25,,,,,,,,,58.5,,
2000-02-14,,,,,,,,,,90.88,,,1818.0,,,,,,,,,,14.62,,1335.0,,,,,,,,,69.0,,
2000-02-15,,,,,,,,,,89.88,,,1881.0,,,,,,,,,,14.38,,1263.75,,,,,,,,,69.75,,
2000-02-16,,,,,,,,,,95.5,,,1966.5,,,,,,,,,,14.5,,1196.25,,,,,,,,,72.12,,
2000-02-17,,,,,,,,,,95.06,,,2047.5,,,,,,,,,,14.12,,1287.5,,,,,,,,,74.5,,
2000-02-18,,,,,,,,,,84.47,,,1944.0,,,,,,,,,,14.38,,1310.0,,,,,,,,,76.62,,
2000-02-22,,,,,,,,,,84.41,,,2322.0,,,,,,,,,,14.38,,1303.75,,,,,,,,,76.31,,
2000-02-23,,,,,,,,,,83.38,,,2556.0,,,,,,,,,,14.25,,1269.38,,,,,,,,,73.12,,
2000-02-24,,,,,,,,,,82.84,,,2412.0,,,,,,,,,,14.5,,1206.25,,,,,,,,,73.0,,
2000-02-25,,,,,,,,,,87.94,,,2416.5,,,,,,,,,,14.12,,1152.5,,,,,,,,,73.0,,
2000-02-28,,,,,,,,,,86.38,,,2445.75,,,,,,,,,,13.94,,1067.5,,,,,,,,,74.31,,
2000-02-29,,,,,,,,,,93.94,,,2691.0,,,,,,,,,,19.56,,1174.38,,,,,,,,,82.12,,
2000-03-01,,,,,,,,,,99.09,,,2619.0,,,,,,,,,,18.12,,1172.5,,,,,,,,,98.25,,
2000-03-02,,,,,,,,,,90.31,,,2641.5,,,,,,,,,,20.5,,1210.0,,,,,,,,,96.75,,
2000-03-03,,,,,,,,,,96.5,,,3141.0,,,,,,,,,,28.5,,1208.75,,,,,,,,,111.88,,
2000-03-06,,,,,,,,,,94.75,,,3105.0,,,,,,,,,,34.25,,1171.25,,,,,,,,,109.81,,
2000-03-07,,,,,,,,,,92.12,,,2817.0,,,,,,,,,,30.0,,1110.0,,,,,,,,,114.0,,
2000-03-08,,,,,,,,,,92.5,,,2943.0,,,,,,,,,,28.5,,1168.75,,,,,,,,,108.0,,
2000-03-09,,,,,,,,,,96.5,,,2875.5,,,,,,,,,,33.25,,1191.25,,,,,,,,,107.12,,
2000-03-10,,,,,,,,,,97.0,,,3039.75,,,,,,,,,,31.0,,1497.5,,,,,,,,,100.0,,
2000-03-13,,,,,,,,,,92.78,,,3006.0,,,,,,,,,,32.0,,1400.0,,,,,,,,,95.0,,
2000-03-14,,,,,,,,,,91.88,,,2713.5,,,,,,,,,,30.0,,1170.0,,,,,,,,,85.44,,
2000-03-15,,,,,,,,,,81.5,,,2434.5,,,,,,,,,,28.0,,1182.5,,,,,,,,,78.75,,
2000-03-16,,,,,,,,,,75.34,,,2475.0,,,,,,,,,,27.0,,1235.0,,,,,,,,,78.0,,
2000-03-17,,,,,,,,,,75.69,,,2731.5,,,,,,,,,,29.12,,1218.75,,,,,,,,,83.44,,
2000-03-20,,,,,,,,,,76.84,,,2610.0,,,,,,,,,,29.38,,1105.62,,,,,,,,,85.0,,
2000-03-21,,,,,,,,,,80.75,,,2412.0,,,,,,,,,,29.5,,1064.38,,,,,,,,,82.75,,
2000-03-22,,,,,,,,,,86.0,,,2520.0,,,,,,,,,,28.0,,1092.5,,,,,,,,,88.0,,
2000-03-23,,,,,,,,,,83.75,,,2992.5,,,,,,,,,,28.62,,1080.0,,,,,,,,,92.88,,
2000-03-24,,,,,,,,,,83.91,,,3028.5,,,,,,,,,,31.25,,1015.62,,,,,,,,,94.56,,
2000-03-27,,,,,,,,,,80.28,,,2952.0,,,,,,,,,,31.5,,968.12,,,,,,,,,94.94,,
2000-03-28,,,,,,,,,,77.12,,,2862.0,,,,,,,,,,29.12,,916.88,,,,,,,,,86.19,,
2000-03-29,,,,,,,,,,70.03,,,2702.25,,,,,,,,,,27.5,,847.5,,,,,,,,,78.0,,
2000-03-30,,,,,,,,,,61.5,,,2655.0,,,,,,,,,,24.81,,837.5,,,,,,,,,71.19,,
2000-03-31,,,,,,,,,,56.44,,,2817.0,,,,,,,,,,24.88,,850.0,,,,,,,,,74.0,,
2000-04-03,,,,,,,,,,52.47,,,2520.0,,,,,,,,,,21.75,,761.88,,,,,,,,,68.25,,
2000-04-04,,,,,,,,,,56.5,,,2448.0,,,,,,,,,,19.0,,830.0,,,,,,,,,71.0,,
2000-04-05,,,,,,,,,,65.25,,,2466.0,,,,,,,,,,18.81,,920.0,,,,,,,,,71.0,,
2000-04-06,,,,,,,,,,61.97,,,2466.0,,,,,,,,,,23.0,,910.0,,,,,,,,,71.72,,
2000-04-07,,,,,,,,,,63.19,,,2430.0,,,,,,,,,,22.25,,887.5,,,,,,,,,75.12,,
2000-04-10,,,,,,,,,,58.25,,,2259.0,,,,,,,,,,21.5,,814.38,,,,,,,,,66.44,,
2000-04-11,,,,,,,,,,52.88,,,2139.75,,,,,,,,,,19.75,,812.5,,,,,,,,,65.91,,
2000-04-12,,,,,,,,,,52.03,,,2052.0,,,,,,,,,,18.0,,752.5,,,,,,,,,63.5,,
2000-04-13,,,,,,,,,,51.5,,,1759.5,,,,,,,,,,17.5,,693.75,,,,,,,,,64.38,,
2000-04-14,,,,,,,,,,44.5,,,1228.5,,,,,,,,,,14.0,,551.88,,,,,,,,,60.88,,
2000-04-17,,,,,,,,,,48.5,,,1296.0,,,,,,,,,,13.75,,545.0,,,,,,,,,58.12,,
2000-04-18,,,,,,,,,,53.59,,,1435.5,,,,,,,,,,16.75,,711.88,,,,,,,,,64.25,,
2000-04-19,,,,,,,,,,57.19,,,1444.5,,,,,,,,,,16.94,,650.0,,,,,,,,,63.75,,
2000-04-20,,,,,,,,,,59.5,,,1428.75,,,,,,,,,,18.12,,628.75,,,,,,,,,64.44,,
