,Country,Year,Asset investment in renewables
0,China,2004,2.4
1,Germany,2004,8.9
2,India,2004,2.7
3,United States,2004,4.8
4,China,2005,7.699999999999999
5,Germany,2005,10.6
6,India,2005,2.8
7,United States,2005,9.2
8,China,2006,9.0
9,Germany,2006,11.1
10,India,2006,4.6
11,United States,2006,23.6
12,China,2007,13.600000000000001
13,Germany,2007,14.7
14,India,2007,5.3999999999999995
15,United States,2007,26.199999999999996
16,China,2008,22.5
17,Germany,2008,16.7
18,India,2008,5.199999999999999
19,United States,2008,26.5
20,China,2009,31.9
21,Germany,2009,25.599999999999998
22,India,2009,4.0
23,United States,2009,15.1
24,China,2010,35.0
25,Germany,2010,37.1
26,India,2010,6.3999999999999995
27,United States,2010,27.2
28,China,2011,39.9
29,Germany,2011,35.3
30,India,2011,11.2
31,United States,2011,45.300000000000004
32,China,2012,55.0
33,Germany,2012,26.3
34,India,2012,6.5
35,United States,2012,35.0
36,China,2013,61.199999999999996
37,Germany,2013,13.399999999999999
38,India,2013,4.6
39,United States,2013,29.1
40,China,2014,86.69999999999999
41,Germany,2014,18.7
42,India,2014,6.1
43,United States,2014,31.7
44,China,2015,117.99999999999999
45,Germany,2015,14.0
46,India,2015,7.5
47,United States,2015,37.400000000000006
48,China,2016,101.39999999999999
49,Germany,2016,14.500000000000002
50,India,2016,12.9
51,United States,2016,41.0
