,Country,Year,Electricity Consumption
0,China,2000.0,1138.0
1,Germany,2000.0,501.0
2,India,2000.0,376.0
3,United States,2000.0,3590.0
4,China,2001.0,1241.0
5,Germany,2001.0,513.0
6,India,2001.0,382.0
7,United States,2001.0,3554.0
8,China,2002.0,1380.0
9,Germany,2002.0,526.0
10,India,2002.0,406.0
11,United States,2002.0,3632.0
12,China,2003.0,1605.0
13,Germany,2003.0,531.0
14,India,2003.0,433.0
15,United States,2003.0,3662.0
16,China,2004.0,1859.0
17,Germany,2004.0,538.0
18,India,2004.0,463.0
19,United States,2004.0,3716.0
20,China,2005.0,2126.0
21,Germany,2005.0,539.0
22,India,2005.0,489.0
23,United States,2005.0,3811.0
24,China,2006.0,2446.0
25,Germany,2006.0,544.0
26,India,2006.0,543.0
27,United States,2006.0,3818.0
28,China,2007.0,2817.0
29,Germany,2007.0,545.0
30,India,2007.0,588.0
31,United States,2007.0,3922.0
32,China,2008.0,2989.0
33,Germany,2008.0,543.0
34,India,2008.0,619.0
35,United States,2008.0,3907.0
36,China,2009.0,3223.0
37,Germany,2009.0,514.0
38,India,2009.0,669.0
39,United States,2009.0,3725.0
40,China,2010.0,3626.0
41,Germany,2010.0,547.0
42,India,2010.0,727.0
43,United States,2010.0,3894.0
44,China,2011.0,4052.0
45,Germany,2011.0,541.0
46,India,2011.0,803.0
47,United States,2011.0,3885.0
48,China,2012.0,4326.0
49,Germany,2012.0,540.0
50,India,2012.0,839.0
51,United States,2012.0,3831.0
52,China,2013.0,4718.0
53,Germany,2013.0,537.0
54,India,2013.0,890.0
55,United States,2013.0,3873.0
56,China,2014.0,4939.0
57,Germany,2014.0,526.0
58,India,2014.0,963.0
59,United States,2014.0,3894.0
60,China,2015.0,5104.0
61,Germany,2015.0,528.0
62,India,2015.0,1032.0
63,United States,2015.0,3895.0
64,China,2016.0,5367.0
65,Germany,2016.0,528.0
66,India,2016.0,1098.0
67,United States,2016.0,3890.0
