,Country,Year,Electricity Production
0,China,2000.0,1356.0
1,Germany,2000.0,577.0
2,India,2000.0,570.0
3,United States,2000.0,4053.0
4,China,2001.0,1481.0
5,Germany,2001.0,586.0
6,India,2001.0,588.0
7,United States,2001.0,3865.0
8,China,2002.0,1654.0
9,Germany,2002.0,587.0
10,India,2002.0,611.0
11,United States,2002.0,4051.0
12,China,2003.0,1911.0
13,Germany,2003.0,609.0
14,India,2003.0,651.0
15,United States,2003.0,4082.0
16,China,2004.0,2204.0
17,Germany,2004.0,617.0
18,India,2004.0,684.0
19,United States,2004.0,4175.0
20,China,2005.0,2500.0
21,Germany,2005.0,623.0
22,India,2005.0,716.0
23,United States,2005.0,4294.0
24,China,2006.0,2866.0
25,Germany,2006.0,639.0
26,India,2006.0,774.0
27,United States,2006.0,4301.0
28,China,2007.0,3282.0
29,Germany,2007.0,641.0
30,India,2007.0,824.0
31,United States,2007.0,4350.0
32,China,2008.0,3467.0
33,Germany,2008.0,640.0
34,India,2008.0,848.0
35,United States,2008.0,4368.0
36,China,2009.0,3715.0
37,Germany,2009.0,596.0
38,India,2009.0,917.0
39,United States,2009.0,4188.0
40,China,2010.0,4208.0
41,Germany,2010.0,633.0
42,India,2010.0,979.0
43,United States,2010.0,4378.0
44,China,2011.0,4716.0
45,Germany,2011.0,613.0
46,India,2011.0,1075.0
47,United States,2011.0,4349.0
48,China,2012.0,4994.0
49,Germany,2012.0,630.0
50,India,2012.0,1123.0
51,United States,2012.0,4291.0
52,China,2013.0,5447.0
53,Germany,2013.0,639.0
54,India,2013.0,1191.0
55,United States,2013.0,4306.0
56,China,2014.0,5679.0
57,Germany,2014.0,628.0
58,India,2014.0,1294.0
59,United States,2014.0,4339.0
60,China,2015.0,5860.0
61,Germany,2015.0,647.0
62,India,2015.0,1383.0
63,United States,2015.0,4317.0
64,China,2016.0,6165.0
65,Germany,2016.0,648.0
66,India,2016.0,1463.0
67,United States,2016.0,4316.0
