,Country,Year,Electricity generation
0,China,2000.0,1355.6
1,Germany,2000.0,576.556
2,India,2000.0,571.3939361
3,United States,2000.0,4052.253106
4,China,2001.0,1480.8020000000001
5,Germany,2001.0,586.4115
6,India,2001.0,586.0927383999999
7,United States,2001.0,3984.46789
8,China,2002.0,1654.0
9,Germany,2002.0,586.688
10,India,2002.0,609.6504786
11,United States,2002.0,4111.775538
12,China,2003.0,1910.575
13,Germany,2003.0,608.78
14,India,2003.0,638.1310102000001
15,United States,2003.0,4137.978842
16,China,2004.0,2203.31
17,Germany,2004.0,617.4652
18,India,2004.0,698.300975
19,United States,2004.0,4231.682747
20,China,2005.0,2500.26
21,Germany,2005.0,622.575
22,India,2005.0,704.5093182
23,United States,2005.0,4322.786632
24,China,2006.0,2865.7259999999997
25,Germany,2006.0,639.5665
26,India,2006.0,744.4262522999999
27,United States,2006.0,4330.951641
28,China,2007.0,3281.553
29,Germany,2007.0,640.578
30,India,2007.0,796.265175
31,United States,2007.0,4431.837021
32,China,2008.0,3495.76
33,Germany,2008.0,640.686
34,India,2008.0,828.4135525
35,United States,2008.0,4390.106117
36,China,2009.0,3714.651
37,Germany,2009.0,595.624
38,India,2009.0,879.70725
39,United States,2009.0,4206.493361
40,China,2010.0,4207.16
41,Germany,2010.0,633.0930000000001
42,India,2010.0,937.4680375
43,United States,2010.0,4394.250985000001
44,China,2011.0,4713.019
45,Germany,2011.0,613.070326
46,India,2011.0,1034.011325
47,United States,2011.0,4363.377155
48,China,2012.0,4987.553
49,Germany,2012.0,630.149
50,India,2012.0,1091.837883
51,United States,2012.0,4310.569202000001
52,China,2013.0,5431.635
53,Germany,2013.0,638.73
54,India,2013.0,1146.139133
55,United States,2013.0,4330.292888
56,China,2014.0,5794.456999999999
57,Germany,2014.0,627.7651017999999
58,India,2014.0,1262.2199679999999
59,United States,2014.0,4363.3264070000005
60,China,2015.0,5814.573
61,Germany,2015.0,648.1492806
62,India,2015.0,1317.2981300000001
63,United States,2015.0,4348.66944
64,China,2016.0,6133.16
65,Germany,2016.0,650.707344
66,India,2016.0,1401.741765
67,United States,2016.0,4347.910814
