,Country,Year,Electricity generation from other
0,China,2000.0,0.0036872
1,Germany,2000.0,21.27425
2,India,2000.0,0.0
3,United States,2000.0,18.0309984
4,China,2001.0,0.0023076
5,Germany,2001.0,21.2795
6,India,2001.0,0.0
7,United States,2001.0,12.22713092
8,China,2002.0,0.0061278
9,Germany,2002.0,18.62625
10,India,2002.0,0.0
11,United States,2002.0,13.97548879
12,China,2003.0,0.0078946
13,Germany,2003.0,20.305999999999997
14,India,2003.0,0.0
15,United States,2003.0,14.545181
16,China,2004.0,0.0
17,Germany,2004.0,21.2268
18,India,2004.0,0.0
19,United States,2004.0,14.75084734
20,China,2005.0,0.0
21,Germany,2005.0,24.1468
22,India,2005.0,0.0
23,United States,2005.0,13.35915624
24,China,2006.0,0.0
25,Germany,2006.0,25.4006
26,India,2006.0,0.0
27,United States,2006.0,13.52413552
28,China,2007.0,0.0
29,Germany,2007.0,26.5586
30,India,2007.0,0.0
31,United States,2007.0,12.7020304
32,China,2008.0,0.0
33,Germany,2008.0,24.7124
34,India,2008.0,0.0
35,United States,2008.0,12.28199821
36,China,2009.0,0.0
37,Germany,2009.0,21.1252
38,India,2009.0,0.0
39,United States,2009.0,12.52409457
40,China,2010.0,19.851860000000002
41,Germany,2010.0,26.4293
42,India,2010.0,0.0
43,United States,2010.0,13.46426351
44,China,2011.0,21.669
45,Germany,2011.0,25.3062
46,India,2011.0,0.0
47,United States,2011.0,14.80104819
48,China,2012.0,20.279889999999998
49,Germany,2012.0,26.1096
50,India,2012.0,0.0
51,United States,2012.0,14.50250746
52,China,2013.0,22.9827266
53,Germany,2013.0,26.18
54,India,2013.0,0.0
55,United States,2013.0,14.30566562
56,China,2014.0,26.14633
57,Germany,2014.0,26.913
58,India,2014.0,0.2068
59,United States,2014.0,14.07183718
60,China,2015.0,26.783590000000004
61,Germany,2015.0,27.13520869
62,India,2015.0,0.137685
63,United States,2015.0,14.75186233
64,China,2016.0,42.1935
65,Germany,2016.0,27.543000000000003
66,India,2016.0,0.10410499999999999
67,United States,2016.0,14.35359482
