,Country,Year,Energy intensity-primary energy
0,China,2000.0,10.23305051
1,Germany,2000.0,4.635294282
2,India,2000.0,6.949594871
3,United States,2000.0,7.335371396
4,China,2001.0,9.833583306
5,Germany,2001.0,4.694756909
6,India,2001.0,6.724806376
7,United States,2001.0,7.1282168089999995
8,China,2002.0,9.621842057
9,Germany,2002.0,4.589391211000001
10,India,2002.0,6.672001022999999
11,United States,2002.0,7.082367871000001
12,China,2003.0,9.994209983
13,Germany,2003.0,4.59786268
14,India,2003.0,6.333921729
15,United States,2003.0,6.904967491
16,China,2004.0,10.35599738
17,Germany,2004.0,4.576951193999999
18,India,2004.0,6.181107871
19,United States,2004.0,6.790206059
20,China,2005.0,10.28130878
21,Germany,2005.0,4.511465998
22,India,2005.0,5.877519466
23,United States,2005.0,6.60173784
24,China,2006.0,9.974489412999999
25,Germany,2006.0,4.47122845
26,India,2006.0,5.661849048
27,United States,2006.0,6.3694074039999995
28,China,2007.0,9.446755652
29,Germany,2007.0,4.099191676
30,India,2007.0,5.507649299
31,United States,2007.0,6.367571447
32,China,2008.0,8.888790121
33,Germany,2008.0,4.099406678
34,India,2008.0,5.56214241
35,United States,2008.0,6.22245169
36,China,2009.0,8.693872841000001
37,Germany,2009.0,4.068098366
38,India,2009.0,5.6467119320000005
39,United States,2009.0,6.084563271
40,China,2010.0,8.679178537
41,Germany,2010.0,4.115335557
42,India,2010.0,5.3531792419999995
43,United States,2010.0,6.072479221
44,China,2011.0,8.502319501
45,Germany,2011.0,3.773036713
46,India,2011.0,5.232985711
47,United States,2011.0,5.90983675
48,China,2012.0,8.190299441
49,Germany,2012.0,3.771810715
50,India,2012.0,5.199643316
51,United States,2012.0,5.692995246000001
52,China,2013.0,7.851333802999999
53,Germany,2013.0,3.831755977
54,India,2013.0,4.98862544
55,United States,2013.0,5.676035631
56,China,2014.0,7.104220001
57,Germany,2014.0,3.640399424
58,India,2014.0,4.960149499
59,United States,2014.0,5.621145713
60,China,2015.0,6.690069702000001
61,Germany,2015.0,3.603094155
62,India,2015.0,4.730910449
63,United States,2015.0,5.40839254
64,China,2016.0,
65,Germany,2016.0,
66,India,2016.0,
67,United States,2016.0,
