,Country,Year,Renewable Energy Solar (Installed capacity)
0,China,2000.0,33.515
1,Germany,2000.0,114.0
2,India,2000.0,0.0
3,United States,2000.0,18.5
4,China,2001.0,4.505000000000003
5,Germany,2001.0,81.0
6,India,2001.0,1.1
7,United States,2001.0,3.3999999999999986
8,China,2002.0,18.509999999999998
9,Germany,2002.0,65.0
10,India,2002.0,4.4
11,United States,2002.0,6.100000000000001
12,China,2003.0,10.069999999999993
13,Germany,2003.0,175.0
14,India,2003.0,1.2000000000000002
15,United States,2003.0,45.0
16,China,2004.0,10.0
17,Germany,2004.0,670.0
18,India,2004.0,1.2000000000000002
19,United States,2004.0,38.0
20,China,2005.0,64.6
21,Germany,2005.0,951.0
22,India,2005.0,-0.10000000000000053
23,United States,2005.0,79.0
24,China,2006.0,19.0
25,Germany,2006.0,843.0
26,India,2006.0,3.8
27,United States,2006.0,105.0
28,China,2007.0,38.80000000000001
29,Germany,2007.0,1271.0
30,India,2007.0,-2.0
31,United States,2007.0,160.0
32,China,2008.0,54.0
33,Germany,2008.0,1950.0
34,India,2008.0,15.500000000000002
35,United States,2008.0,298.0
36,China,2009.0,161.8
37,Germany,2009.0,4447.0
38,India,2009.0,2.599999999999998
39,United States,2009.0,435.0
40,China,2010.0,607.0
41,Germany,2010.0,7440.0
42,India,2010.0,11.7
43,United States,2010.0,852.0
44,China,2011.0,2086.0
45,Germany,2011.0,7910.0
46,India,2011.0,26.000000000000007
47,United States,2011.0,1342.0
48,China,2012.0,3611.0
49,Germany,2012.0,8160.0
50,India,2012.0,500.4
51,United States,2012.0,3946.0
52,China,2013.0,11040.0
53,Germany,2013.0,2634.0
54,India,2013.0,360.20000000000005
55,United States,2013.0,5717.0
56,China,2014.0,10640.0
57,Germany,2014.0,1189.0
58,India,2014.0,2746.508
59,United States,2014.0,4606.0
60,China,2015.0,15150.000000000004
61,Germany,2015.0,1324.0
62,India,2015.0,1920.9760000000006
63,United States,2015.0,5791.0
64,China,2016.0,34260.0
65,Germany,2016.0,1455.0
66,India,2016.0,4285.537
67,United States,2016.0,11274.0
