,Country,Year,Renewable Energy Wind  (Installed capacity)
0,China,2000.0,341.0
1,Germany,2000.0,6095.0
2,India,2000.0,1267.0
3,United States,2000.0,2377.0
4,China,2001.0,42.0
5,Germany,2001.0,2659.0
6,India,2001.0,189.0
7,United States,2001.0,1487.0
8,China,2002.0,66.0
9,Germany,2002.0,3247.0
10,India,2002.0,246.0
11,United States,2002.0,553.0
12,China,2003.0,98.0
13,Germany,2003.0,2380.0
14,India,2003.0,423.0
15,United States,2003.0,1578.0
16,China,2004.0,216.0
17,Germany,2004.0,2038.0
18,India,2004.0,875.0
19,United States,2004.0,461.0
20,China,2005.0,297.0
21,Germany,2005.0,1829.0
22,India,2005.0,1433.8999999999996
23,United States,2005.0,2250.0
24,China,2006.0,1010.0
25,Germany,2006.0,2226.0
26,India,2006.0,1881.1000000000004
27,United States,2006.0,2623.0
28,China,2007.0,2130.0
29,Germany,2007.0,1642.0
30,India,2007.0,1529.5
31,United States,2007.0,5186.0
32,China,2008.0,4187.728000000001
33,Germany,2008.0,678.0
34,India,2008.0,2398.0
35,United States,2008.0,8136.0
36,China,2009.0,9211.679999999998
37,Germany,2009.0,2938.0
38,India,2009.0,682.5
39,United States,2009.0,9645.0
40,China,2010.0,12034.07
41,Germany,2010.0,1171.0
42,India,2010.0,2259.0
43,United States,2010.0,4839.0
44,China,2011.0,16721.122
45,Germany,2011.0,1809.0
46,India,2011.0,2995.0
47,United States,2011.0,6541.0
48,China,2012.0,15242.273000000001
49,Germany,2012.0,2267.0
50,India,2012.0,1120.7000000000007
51,United States,2012.0,13399.0
52,China,2013.0,15133.657
53,Germany,2013.0,2498.0
54,India,2013.0,1120.7000000000007
55,United States,2013.0,898.0
56,China,2014.0,20088.600000000006
57,Germany,2014.0,5137.0
58,India,2014.0,4044.899999999998
59,United States,2014.0,4259.0
60,China,2015.0,34228.59999999999
61,Germany,2015.0,5966.0
62,India,2015.0,2622.8899999999994
63,United States,2015.0,8341.020000000004
64,China,2016.0,17469.160000000018
65,Germany,2016.0,4855.0
66,India,2016.0,3612.25
67,United States,2016.0,8712.979999999996
