,Country,Year,Renewable installed PV Power
0,China,2000.0,0.0
1,Germany,2000.0,0.08900000000000001
2,India,2000.0,0.0
3,United States,2000.0,0.139
4,China,2001.0,0.0
5,Germany,2001.0,0.117
6,India,2001.0,0.0
7,United States,2001.0,0.028999999999999998
8,China,2002.0,0.0
9,Germany,2002.0,0.118
10,India,2002.0,0.0
11,United States,2002.0,0.043999999999999984
12,China,2003.0,0.0
13,Germany,2003.0,0.14899999999999997
14,India,2003.0,0.0
15,United States,2003.0,0.06300000000000003
16,China,2004.0,0.0
17,Germany,2004.0,0.666
18,India,2004.0,0.0
19,United States,2004.0,0.10099999999999998
20,China,2005.0,0.0
21,Germany,2005.0,0.933
22,India,2005.0,0.0
23,United States,2005.0,0.10299999999999998
24,China,2006.0,0.08
25,Germany,2006.0,0.8460000000000001
26,India,2006.0,0.0
27,United States,2006.0,0.14500000000000002
28,China,2007.0,0.020000000000000004
29,Germany,2007.0,1.2770000000000001
30,India,2007.0,0.0
31,United States,2007.0,0.20699999999999996
32,China,2008.0,0.04000000000000001
33,Germany,2008.0,1.9579999999999993
34,India,2008.0,0.0
35,United States,2008.0,0.3380000000000001
36,China,2009.0,0.15999999999999998
37,Germany,2009.0,3.806
38,India,2009.0,0.0
39,United States,2009.0,0.44699999999999984
40,China,2010.0,0.5
41,Germany,2010.0,7.411000000000001
42,India,2010.0,0.0
43,United States,2010.0,0.42400000000000015
44,China,2011.0,2.5
45,Germany,2011.0,7.489999999999998
46,India,2011.0,0.0
47,United States,2011.0,1.92
48,China,2012.0,3.7
49,Germany,2012.0,7.600000000000001
50,India,2012.0,0.0
51,United States,2012.0,3.37
52,China,2013.0,12.719999999999999
53,Germany,2013.0,3.3100000000000023
54,India,2013.0,0.0
55,United States,2013.0,4.75
56,China,2014.0,10.66
57,Germany,2014.0,2.479999999999997
58,India,2014.0,0.0
59,United States,2014.0,6.24
60,China,2015.0,13.150000000000002
61,Germany,2015.0,1.4600000000000009
62,India,2015.0,0.0
63,United States,2015.0,7.350000000000001
64,China,2016.0,34.56999999999999
65,Germany,2016.0,0.990000000000002
66,India,2016.0,0.0
67,United States,2016.0,15.329999999999998
