,Country,Year,Renewable installed Wind Power
0,China,2000.0,0.35200000000000004
1,Germany,2000.0,6.1129999999999995
2,India,2000.0,1.22
3,United States,2000.0,2.61
4,China,2001.0,0.05399999999999999
5,Germany,2001.0,2.6210000000000004
6,India,2001.0,0.236
7,United States,2001.0,1.6350000000000002
8,China,2002.0,0.06699999999999995
9,Germany,2002.0,3.2669999999999995
10,India,2002.0,0.246
11,United States,2002.0,0.4289999999999994
12,China,2003.0,0.09499999999999997
13,Germany,2003.0,2.6080000000000023
14,India,2003.0,0.4079999999999999
15,United States,2003.0,1.7000000000000002
16,China,2004.0,0.19600000000000006
17,Germany,2004.0,2.0199999999999996
18,India,2004.0,0.8900000000000001
19,United States,2004.0,0.351
20,China,2005.0,0.496
21,Germany,2005.0,1.7989999999999995
22,India,2005.0,1.4299999999999997
23,United States,2005.0,2.4239999999999995
24,China,2006.0,1.3439999999999996
25,Germany,2006.0,2.193999999999999
26,India,2006.0,1.8399999999999999
27,United States,2006.0,2.4540000000000006
28,China,2007.0,3.302000000000001
29,Germany,2007.0,1.625
30,India,2007.0,1.5750000000000002
31,United States,2007.0,5.061000000000002
32,China,2008.0,6.304
33,Germany,2008.0,1.6549999999999976
34,India,2008.0,1.8099999999999996
35,United States,2008.0,8.506
36,China,2009.0,13.594999999999999
37,Germany,2009.0,1.875
38,India,2009.0,1.270999999999999
39,United States,2009.0,9.898000000000003
40,China,2010.0,16.482
41,Germany,2010.0,1.4370000000000047
42,India,2010.0,2.139000000000001
43,United States,2010.0,5.111999999999995
44,China,2011.0,20.446000000000005
45,Germany,2011.0,1.8459999999999965
46,India,2011.0,3.019
47,United States,2011.0,6.738999999999997
48,China,2012.0,12.590999999999994
49,Germany,2012.0,2.210000000000001
50,India,2012.0,2.3369999999999997
51,United States,2012.0,13.088000000000001
52,China,2013.0,16.088000000000008
53,Germany,2013.0,2.9800000000000004
54,India,2013.0,1.7289999999999992
55,United States,2013.0,1.1030000000000015
56,China,2014.0,23.350999999999985
57,Germany,2014.0,4.914999999999999
58,India,2014.0,2.3150000000000013
59,United States,2014.0,4.768999999999991
60,China,2015.0,30.597000000000023
61,Germany,2015.0,5.776000000000003
62,India,2015.0,2.623000000000001
63,United States,2015.0,8.112000000000009
64,China,2016.0,23.329999999999984
65,Germany,2016.0,5.076999999999998
66,India,2016.0,3.6119999999999983
67,United States,2016.0,8.192999999999998
