,Country,Year,Renewable share electricity production
0,China,2000.0,16.64
1,Germany,2000.0,6.89
2,India,2000.0,13.59
3,United States,2000.0,8.81
4,China,2001.0,18.96
5,Germany,2001.0,7.23
6,India,2001.0,13.21
7,United States,2001.0,7.42
8,China,2002.0,17.62
9,Germany,2002.0,8.39
10,India,2002.0,12.06
11,United States,2002.0,9.2
12,China,2003.0,15.04
13,Germany,2003.0,8.34
14,India,2003.0,13.47
15,United States,2003.0,9.49
16,China,2004.0,16.22
17,Germany,2004.0,10.2
18,India,2004.0,14.48
19,United States,2004.0,9.22
20,China,2005.0,16.18
21,Germany,2005.0,11.13
22,India,2005.0,16.62
23,United States,2005.0,9.12
24,China,2006.0,15.59
25,Germany,2006.0,12.26
26,India,2006.0,17.54
27,United States,2006.0,9.79
28,China,2007.0,15.26
29,Germany,2007.0,14.87
30,India,2007.0,17.86
31,United States,2007.0,8.91
32,China,2008.0,17.74
33,Germany,2008.0,15.5
34,India,2008.0,16.51
35,United States,2008.0,9.53
36,China,2009.0,17.86
37,Germany,2009.0,16.87
38,India,2009.0,15.66
39,United States,2009.0,10.78
40,China,2010.0,18.83
41,Germany,2010.0,17.57
42,India,2010.0,16.04
43,United States,2010.0,10.61
44,China,2011.0,16.95
45,Germany,2011.0,21.14
46,India,2011.0,17.32
47,United States,2011.0,12.69
48,China,2012.0,20.12
49,Germany,2012.0,23.75
50,India,2012.0,15.73
51,United States,2012.0,12.41
52,China,2013.0,20.45
53,Germany,2013.0,24.76
54,India,2013.0,17.35
55,United States,2013.0,13.03
56,China,2014.0,22.79
57,Germany,2014.0,26.82
58,India,2014.0,16.25
59,United States,2014.0,13.36
60,China,2015.0,24.13
61,Germany,2015.0,29.88
62,India,2015.0,15.34
63,United States,2015.0,13.63
64,China,2016.0,25.4
65,Germany,2016.0,30.02
66,India,2016.0,15.49
67,United States,2016.0,15.42
