,Country,Year,Renewable share energy of TFEC
0,China,2000.0,29.73071484
1,Germany,2000.0,3.70043759
2,India,2000.0,51.57934762
3,United States,2000.0,5.429623689
4,China,2001.0,28.45581538
5,Germany,2001.0,3.89967279
6,India,2001.0,51.78721923
7,United States,2001.0,4.67857121
8,China,2002.0,27.09820152
9,Germany,2002.0,4.412636787
10,India,2002.0,50.56944266
11,United States,2002.0,4.840779184
12,China,2003.0,23.94657959
13,Germany,2003.0,5.058467425
14,India,2003.0,50.84279906
15,United States,2003.0,5.3262822739999995
16,China,2004.0,20.24947926
17,Germany,2004.0,5.825244433
18,India,2004.0,49.72402461
19,United States,2004.0,5.477656518
20,China,2005.0,18.20381865
21,Germany,2005.0,6.764551009
22,India,2005.0,48.57530875
23,United States,2005.0,5.841090873
24,China,2006.0,17.09461008
25,Germany,2006.0,7.753224656
26,India,2006.0,47.44372171
27,United States,2006.0,6.396513971
28,China,2007.0,15.34937114
29,Germany,2007.0,9.406587903
30,India,2007.0,45.86780352
31,United States,2007.0,6.304128198
32,China,2008.0,14.60199657
33,Germany,2008.0,8.592248257
34,India,2008.0,43.63288301
35,United States,2008.0,6.845540835
36,China,2009.0,13.91196227
37,Germany,2009.0,9.63006157
38,India,2009.0,40.77082759
39,United States,2009.0,7.354404755
40,China,2010.0,12.88431031
41,Germany,2010.0,10.29351964
42,India,2010.0,39.48150873
43,United States,2010.0,7.505172055
44,China,2011.0,11.69579699
45,Germany,2011.0,11.39435591
46,India,2011.0,38.93174021
47,United States,2011.0,8.164451646
48,China,2012.0,11.96856703
49,Germany,2012.0,12.01513573
50,India,2012.0,38.39089015
51,United States,2012.0,8.481450407999999
52,China,2013.0,11.838166900000001
53,Germany,2013.0,12.08907875
54,India,2013.0,37.84984118
55,United States,2013.0,8.713261572999999
56,China,2014.0,12.22382301
57,Germany,2014.0,13.37887823
58,India,2014.0,36.65183786
59,United States,2014.0,8.754308953999999
60,China,2015.0,12.41335257
61,Germany,2015.0,14.2062527
62,India,2015.0,36.02122257
63,United States,2015.0,8.716935867
64,China,2016.0,
65,Germany,2016.0,
66,India,2016.0,
67,United States,2016.0,
