,Country,Year,Total final energy consumption (TFEC)
0,China,2000.0,30187188.73
1,Germany,2000.0,8638440.514
2,India,2000.0,12080447.48
3,United States,2000.0,58330543.36
4,China,2001.0,30940867.04
5,Germany,2001.0,8812552.193
6,India,2001.0,12162916.05
7,United States,2001.0,57219712.6
8,China,2002.0,32272543.97
9,Germany,2002.0,8671255.271
10,India,2002.0,12583836.53
11,United States,2002.0,57240371.73
12,China,2003.0,35505254.39
13,Germany,2003.0,8839115.931
14,India,2003.0,12722743.67
15,United States,2003.0,58069490.9
16,China,2004.0,41469975.08
17,Germany,2004.0,8763328.404
18,India,2004.0,13273593.71
19,United States,2004.0,58840911.06
20,China,2005.0,45785223.21
21,Germany,2005.0,8626259.145
22,India,2005.0,13900527.19
23,United States,2005.0,58889188.25
24,China,2006.0,49175114.02
25,Germany,2006.0,8820320.967
26,India,2006.0,14552475.55
27,United States,2006.0,58707586.93
28,China,2007.0,52829271.79
29,Germany,2007.0,8247962.045
30,India,2007.0,15352261.19
31,United States,2007.0,59567475.18
32,China,2008.0,54691192.12
33,Germany,2008.0,8551613.944
34,India,2008.0,16342885.25
35,United States,2008.0,58277353.04
36,China,2009.0,56930962.32
37,Germany,2009.0,8118725.87
38,India,2009.0,17750414.76
39,United States,2009.0,55341324.5
40,China,2010.0,61093297.29
41,Germany,2010.0,8638160.04
42,India,2010.0,18684425.28
43,United States,2010.0,57655200.55
44,China,2011.0,65459079.1
45,Germany,2011.0,8211583.065
46,India,2011.0,19401668.04
47,United States,2011.0,57123701.65
48,China,2012.0,67426526.34
49,Germany,2012.0,8300447.226
50,India,2012.0,19869435.09
51,United States,2012.0,56628804.85
52,China,2013.0,69906541.02
53,Germany,2013.0,8524131.747000001
54,India,2013.0,20586036.18
55,United States,2013.0,57984073.56
56,China,2014.0,71536310.66
57,Germany,2014.0,8130876.006
58,India,2014.0,21562801.38
59,United States,2014.0,59116385.16
60,China,2015.0,73183146.53
61,Germany,2015.0,8327614.785
62,India,2015.0,22241457.76
63,United States,2015.0,58483061.91
64,China,2016.0,
65,Germany,2016.0,
66,India,2016.0,
67,United States,2016.0,
