,Years,Country,Primary Energy-Consumption
0,2000.0,US,95.13879198
1,2000.0,Germany,14.30741212
2,2000.0,China,42.45316142
3,2000.0,India,13.34155797
4,2001.0,US,92.89452493
5,2001.0,Germany,14.56011357
6,2001.0,China,44.8419766
7,2001.0,India,13.41095659
8,2002.0,US,94.23901794
9,2002.0,Germany,14.36718806
10,2002.0,China,48.84460713
11,2002.0,India,14.02856838
12,2003.0,US,94.53503322
13,2003.0,Germany,14.3533407
14,2003.0,China,56.87522175
15,2003.0,India,14.56802106
16,2004.0,US,96.39671419
17,2004.0,Germany,14.33946814
18,2004.0,China,66.54571613
19,2004.0,India,15.6296614
20,2005.0,US,96.43731384
21,2005.0,Germany,14.165917199999999
22,2005.0,China,75.60172011
23,2005.0,India,16.56290826
24,2006.0,US,95.65836227
25,2006.0,Germany,14.51322843
26,2006.0,China,82.8805339
27,2006.0,India,17.41017417
28,2007.0,US,96.99645751
29,2007.0,Germany,13.89002168
30,2007.0,China,90.08781938
31,2007.0,India,18.92910864
32,2008.0,US,94.60071171
33,2008.0,Germany,14.02825473
34,2008.0,China,93.44496937
35,2008.0,India,20.00481722
36,2009.0,US,89.92401795
37,2009.0,Germany,13.15429711
38,2009.0,China,97.52314741
39,2009.0,India,21.52434691
40,2010.0,US,92.97258881
41,2010.0,Germany,13.70618966
42,2010.0,China,104.2840024
43,2010.0,India,22.55470758
44,2011.0,US,92.08836192
45,2011.0,Germany,13.20216248
46,2011.0,China,112.54080829999998
47,2011.0,India,23.88045003
48,2012.0,US,89.68776503
49,2012.0,Germany,13.36885139
50,2012.0,China,117.04535020000002
51,2012.0,India,25.11341421
52,2013.0,US,92.09548018
53,2013.0,Germany,13.74595931
54,2013.0,China,121.37465690000002
55,2013.0,India,26.076945199999997
56,2014.0,US,93.05416796
57,2014.0,Germany,13.16627917
58,2014.0,China,124.19793290000001
59,2014.0,India,27.86167507
60,2015.0,US,92.14900449
61,2015.0,Germany,13.39985761
62,2015.0,China,125.3768906
63,2015.0,India,28.77081861
64,2016.0,US,92.017799
65,2016.0,Germany,13.61972299
66,2016.0,China,126.9507368
67,2016.0,India,30.06742863
68,2017.0,US,92.33052485
69,2017.0,Germany,13.78398327
70,2017.0,China,130.8317338
71,2017.0,India,31.33455098
72,2018.0,US,95.60291901
73,2018.0,Germany,13.43934242
74,2018.0,China,135.7706969
75,2018.0,India,33.30179358
