,Years,Country,Renewable Energy Solar (Installed capacity)
0,2000.0,US,18.5
1,2000.0,Germany,114.0
2,2000.0,China,33.515
3,2000.0,India,0.0
4,2001.0,US,3.3999999999999986
5,2001.0,Germany,81.0
6,2001.0,China,4.505000000000003
7,2001.0,India,1.1
8,2002.0,US,6.100000000000001
9,2002.0,Germany,65.0
10,2002.0,China,18.509999999999998
11,2002.0,India,4.4
12,2003.0,US,45.0
13,2003.0,Germany,175.0
14,2003.0,China,10.069999999999993
15,2003.0,India,1.2000000000000002
16,2004.0,US,38.0
17,2004.0,Germany,670.0
18,2004.0,China,10.0
19,2004.0,India,1.2000000000000002
20,2005.0,US,79.0
21,2005.0,Germany,951.0
22,2005.0,China,64.6
23,2005.0,India,-0.10000000000000053
24,2006.0,US,105.0
25,2006.0,Germany,843.0
26,2006.0,China,19.0
27,2006.0,India,3.8
28,2007.0,US,160.0
29,2007.0,Germany,1271.0
30,2007.0,China,38.80000000000001
31,2007.0,India,-2.0
32,2008.0,US,298.0
33,2008.0,Germany,1950.0
34,2008.0,China,54.0
35,2008.0,India,15.500000000000002
36,2009.0,US,435.0
37,2009.0,Germany,4447.0
38,2009.0,China,161.8
39,2009.0,India,2.599999999999998
40,2010.0,US,852.0
41,2010.0,Germany,7440.0
42,2010.0,China,607.0
43,2010.0,India,11.7
44,2011.0,US,1342.0
45,2011.0,Germany,7910.0
46,2011.0,China,2086.0
47,2011.0,India,26.000000000000007
48,2012.0,US,3946.0
49,2012.0,Germany,8160.0
50,2012.0,China,3611.0
51,2012.0,India,500.4
52,2013.0,US,5717.0
53,2013.0,Germany,2634.0
54,2013.0,China,11040.0
55,2013.0,India,360.20000000000005
56,2014.0,US,4606.0
57,2014.0,Germany,1189.0
58,2014.0,China,10640.0
59,2014.0,India,2746.508
60,2015.0,US,5791.0
61,2015.0,Germany,1324.0
62,2015.0,China,15150.000000000004
63,2015.0,India,1920.9760000000006
64,2016.0,US,11274.0
65,2016.0,Germany,1455.0
66,2016.0,China,34260.0
67,2016.0,India,4285.537
68,2017.0,US,8399.0
69,2017.0,Germany,1614.0
70,2017.0,China,53013.48999999999
71,2017.0,India,8272.735
72,2018.0,US,10068.5
73,2018.0,Germany,2888.0
74,2018.0,China,44414.57399999998
75,2018.0,India,9203.568
