,Years,Country,Renewable Energy Wind  (Installed capacity)
0,2000.0,US,2377.0
1,2000.0,Germany,6095.0
2,2000.0,China,341.0
3,2000.0,India,1267.0
4,2001.0,US,1487.0
5,2001.0,Germany,2659.0
6,2001.0,China,42.0
7,2001.0,India,189.0
8,2002.0,US,553.0
9,2002.0,Germany,3247.0
10,2002.0,China,66.0
11,2002.0,India,246.0
12,2003.0,US,1578.0
13,2003.0,Germany,2380.0
14,2003.0,China,98.0
15,2003.0,India,423.0
16,2004.0,US,461.0
17,2004.0,Germany,2038.0
18,2004.0,China,216.0
19,2004.0,India,875.0
20,2005.0,US,2250.0
21,2005.0,Germany,1829.0
22,2005.0,China,297.0
23,2005.0,India,1433.8999999999996
24,2006.0,US,2623.0
25,2006.0,Germany,2226.0
26,2006.0,China,1010.0
27,2006.0,India,1881.1000000000004
28,2007.0,US,5186.0
29,2007.0,Germany,1642.0
30,2007.0,China,2130.0
31,2007.0,India,1529.5
32,2008.0,US,8136.0
33,2008.0,Germany,678.0
34,2008.0,China,4187.728000000001
35,2008.0,India,2398.0
36,2009.0,US,9645.0
37,2009.0,Germany,2938.0
38,2009.0,China,9211.679999999998
39,2009.0,India,682.5
40,2010.0,US,4839.0
41,2010.0,Germany,1171.0
42,2010.0,China,12034.07
43,2010.0,India,2259.0
44,2011.0,US,6541.0
45,2011.0,Germany,1809.0
46,2011.0,China,16721.122
47,2011.0,India,2995.0
48,2012.0,US,13399.0
49,2012.0,Germany,2267.0
50,2012.0,China,15242.273000000001
51,2012.0,India,1120.7000000000007
52,2013.0,US,898.0
53,2013.0,Germany,2498.0
54,2013.0,China,15133.657
55,2013.0,India,1120.7000000000007
56,2014.0,US,4259.0
57,2014.0,Germany,5137.0
58,2014.0,China,20088.600000000006
59,2014.0,India,4044.899999999998
60,2015.0,US,8341.020000000004
61,2015.0,Germany,5966.0
62,2015.0,China,34228.59999999999
63,2015.0,India,2622.8899999999994
64,2016.0,US,8712.979999999996
65,2016.0,Germany,4855.0
66,2016.0,China,17469.160000000018
67,2016.0,India,3612.25
68,2017.0,US,6311.0
69,2017.0,Germany,6145.0
70,2017.0,China,15857.58699999997
71,2017.0,India,4148.02
72,2018.0,US,6820.399999999994
73,2018.0,Germany,3263.0
74,2018.0,China,20290.399999999994
75,2018.0,India,2439.6399999999994
