,Years,Country,Renewable installed PV Power
0,2000.0,United States,0.139
1,2000.0,Germany,0.08900000000000001
2,2000.0,China,0.0
3,2000.0,India,0.0
4,2001.0,United States,0.028999999999999998
5,2001.0,Germany,0.117
6,2001.0,China,0.0
7,2001.0,India,0.0
8,2002.0,United States,0.043999999999999984
9,2002.0,Germany,0.118
10,2002.0,China,0.0
11,2002.0,India,0.0
12,2003.0,United States,0.06300000000000003
13,2003.0,Germany,0.14899999999999997
14,2003.0,China,0.0
15,2003.0,India,0.0
16,2004.0,United States,0.10099999999999998
17,2004.0,Germany,0.666
18,2004.0,China,0.0
19,2004.0,India,0.0
20,2005.0,United States,0.10299999999999998
21,2005.0,Germany,0.933
22,2005.0,China,0.0
23,2005.0,India,0.0
24,2006.0,United States,0.14500000000000002
25,2006.0,Germany,0.8460000000000001
26,2006.0,China,0.08
27,2006.0,India,0.0
28,2007.0,United States,0.20699999999999996
29,2007.0,Germany,1.2770000000000001
30,2007.0,China,0.020000000000000004
31,2007.0,India,0.0
32,2008.0,United States,0.3380000000000001
33,2008.0,Germany,1.9579999999999993
34,2008.0,China,0.04000000000000001
35,2008.0,India,0.0
36,2009.0,United States,0.44699999999999984
37,2009.0,Germany,3.806
38,2009.0,China,0.15999999999999998
39,2009.0,India,0.0
40,2010.0,United States,0.42400000000000015
41,2010.0,Germany,7.411000000000001
42,2010.0,China,0.5
43,2010.0,India,0.0
44,2011.0,United States,1.92
45,2011.0,Germany,7.489999999999998
46,2011.0,China,2.5
47,2011.0,India,0.0
48,2012.0,United States,3.37
49,2012.0,Germany,7.600000000000001
50,2012.0,China,3.7
51,2012.0,India,0.0
52,2013.0,United States,4.75
53,2013.0,Germany,3.3100000000000023
54,2013.0,China,12.719999999999999
55,2013.0,India,0.0
56,2014.0,United States,6.24
57,2014.0,Germany,2.479999999999997
58,2014.0,China,10.66
59,2014.0,India,0.0
60,2015.0,United States,7.350000000000001
61,2015.0,Germany,1.4600000000000009
62,2015.0,China,13.150000000000002
63,2015.0,India,0.0
64,2016.0,United States,15.329999999999998
65,2016.0,Germany,0.990000000000002
66,2016.0,China,34.56999999999999
67,2016.0,India,0.0
68,2017.0,United States,10.799999999999997
69,2017.0,Germany,1.7999999999999972
70,2017.0,China,53.0
71,2017.0,India,0.0
72,2018.0,United States,10.700000000000003
73,2018.0,Germany,3.0
74,2018.0,China,44.30000000000001
75,2018.0,India,0.0
