,Years,Country,Renewable installed Wind Power
0,2000.0,Germany,6.1129999999999995
1,2000.0,United States,2.61
2,2000.0,India,1.22
3,2000.0,China,0.35200000000000004
4,2001.0,Germany,2.6210000000000004
5,2001.0,United States,1.6350000000000002
6,2001.0,India,0.236
7,2001.0,China,0.05399999999999999
8,2002.0,Germany,3.2669999999999995
9,2002.0,United States,0.4289999999999994
10,2002.0,India,0.246
11,2002.0,China,0.06699999999999995
12,2003.0,Germany,2.6080000000000023
13,2003.0,United States,1.7000000000000002
14,2003.0,India,0.4079999999999999
15,2003.0,China,0.09499999999999997
16,2004.0,Germany,2.0199999999999996
17,2004.0,United States,0.351
18,2004.0,India,0.8900000000000001
19,2004.0,China,0.19600000000000006
20,2005.0,Germany,1.7989999999999995
21,2005.0,United States,2.4239999999999995
22,2005.0,India,1.4299999999999997
23,2005.0,China,0.496
24,2006.0,Germany,2.193999999999999
25,2006.0,United States,2.4540000000000006
26,2006.0,India,1.8399999999999999
27,2006.0,China,1.3439999999999996
28,2007.0,Germany,1.625
29,2007.0,United States,5.061000000000002
30,2007.0,India,1.5750000000000002
31,2007.0,China,3.302000000000001
32,2008.0,Germany,1.6549999999999976
33,2008.0,United States,8.506
34,2008.0,India,1.8099999999999996
35,2008.0,China,6.304
36,2009.0,Germany,1.875
37,2009.0,United States,9.898000000000003
38,2009.0,India,1.270999999999999
39,2009.0,China,13.594999999999999
40,2010.0,Germany,1.4370000000000047
41,2010.0,United States,5.111999999999995
42,2010.0,India,2.139000000000001
43,2010.0,China,16.482
44,2011.0,Germany,1.8459999999999965
45,2011.0,United States,6.738999999999997
46,2011.0,India,3.019
47,2011.0,China,20.446000000000005
48,2012.0,Germany,2.210000000000001
49,2012.0,United States,13.088000000000001
50,2012.0,India,2.3369999999999997
51,2012.0,China,12.590999999999994
52,2013.0,Germany,2.9800000000000004
53,2013.0,United States,1.1030000000000015
54,2013.0,India,1.7289999999999992
55,2013.0,China,16.088000000000008
56,2014.0,Germany,4.914999999999999
57,2014.0,United States,4.768999999999991
58,2014.0,India,2.3150000000000013
59,2014.0,China,23.350999999999985
60,2015.0,Germany,5.776000000000003
61,2015.0,United States,8.112000000000009
62,2015.0,India,2.623000000000001
63,2015.0,China,30.597000000000023
64,2016.0,Germany,5.076999999999998
65,2016.0,United States,8.192999999999998
66,2016.0,India,3.6119999999999983
67,2016.0,China,23.329999999999984
68,2017.0,Germany,6.145999999999994
69,2017.0,United States,6.743000000000009
70,2017.0,India,4.1789999999999985
71,2017.0,China,19.039999999999992
72,2018.0,Germany,3.146000000000008
73,2018.0,United States,7.592999999999989
74,2018.0,India,2.2510000000000048
75,2018.0,China,22.52000000000001
