,Years,Country,Renewables-Consumption
0,2000.0,US,0.86817837
1,2000.0,Germany,0.152289349
2,2000.0,China,0.03148899
3,2000.0,India,0.033787636
4,2001.0,US,0.886654935
5,2001.0,Germany,0.169913448
6,2001.0,China,0.033017858
7,2001.0,India,0.042582509000000004
8,2002.0,US,0.996221274
9,2002.0,Germany,0.237470027
10,2002.0,China,0.035471174
11,2002.0,India,0.042953843
12,2003.0,US,1.058536199
13,2003.0,Germany,0.302466917
14,2003.0,China,0.041101402999999995
15,2003.0,India,0.053512317000000004
16,2004.0,US,1.152707468
17,2004.0,Germany,0.39502394399999996
18,2004.0,China,0.057830427999999996
19,2004.0,India,0.084781101
20,2005.0,US,1.241083165
21,2005.0,Germany,0.48722748
22,2005.0,China,0.101235495
23,2005.0,India,0.098864125
24,2006.0,US,1.468457098
25,2006.0,Germany,0.612064345
26,2006.0,China,0.14308933599999998
27,2006.0,India,0.145510226
28,2007.0,US,1.6794945419999998
29,2007.0,Germany,0.7729506759999999
30,2007.0,China,0.196720162
31,2007.0,India,0.184961844
32,2008.0,US,2.107576808
33,2008.0,Germany,0.80695724
34,2008.0,China,0.326148086
35,2008.0,India,0.228126107
36,2009.0,US,2.3944839780000002
37,2009.0,Germany,0.833846835
38,2009.0,China,0.524562932
39,2009.0,India,0.265121017
40,2010.0,US,2.7566462489999997
41,2010.0,Germany,0.905880564
42,2010.0,China,0.768616625
43,2010.0,India,0.31827361
44,2011.0,US,3.090966438
45,2011.0,Germany,1.112391585
46,2011.0,China,1.049599256
47,2011.0,India,0.39399554200000003
48,2012.0,US,3.325099805
49,2012.0,Germany,1.252520955
50,2012.0,China,1.356393533
51,2012.0,India,0.460993993
52,2013.0,US,3.756286027
53,2013.0,Germany,1.306625139
54,2013.0,China,1.795909085
55,2013.0,India,0.518092339
56,2014.0,US,4.039290073
57,2014.0,Germany,1.429576037
58,2014.0,China,2.238405372
59,2014.0,India,0.5798712429999999
60,2015.0,US,4.248824689
61,2015.0,Germany,1.659035721
62,2015.0,China,2.623551642
63,2015.0,India,0.5973143329999999
64,2016.0,US,4.807667392
65,2016.0,Germany,1.643934157
66,2016.0,China,3.4396675560000003
67,2016.0,India,0.7295890829999999
68,2017.0,US,5.239283385
69,2017.0,Germany,1.8804271000000001
70,2017.0,China,4.614891492
71,2017.0,India,0.896848317
72,2018.0,US,5.5039356029999995
73,2018.0,Germany,1.9697291730000002
74,2018.0,China,5.805105805
75,2018.0,India,1.103764111
