,Country,Year,Asset investment in renewables,Electricity Consumption,Electricity generation,Electricity generation from other,Electricity Production,Energy intensity-primary energy,Primary Energy-Consumption,Renewables-Consumption Prim Energy,Renewable Energy Solar (Installed capacity),Renewable Energy Wind  (Installed capacity),Renewable installed PV Power,Renewable installed Wind Power,Renewable share electricity output,Renewable share electricity production,Renewable share energy of TFEC,Total electricity output,Total final energy consumption (TFEC),Wind and solar share electricity production
0,China,2004,2.4,1859.0,2203.31,0.0,2204.0,10.35599738,66.54571613,0.057830428,10.0,216.0,0.0,0.19600000000000006,16.22326642,16.22,20.24947926,2203502.0,41469975.08,0.07
1,Germany,2004,8.9,538.0,617.4652,21.2268,617.0,4.576951193999999,14.33946814,0.395023944,670.0,2038.0,0.6659999999999999,2.02,9.267474493,10.2,5.825244433,611105.0,8763328.404,4.56
2,India,2004,2.7,463.0,698.300975,0.0,684.0,6.181107871,15.6296614,0.084781101,1.2000000000000002,875.0,0.0,0.8900000000000001,14.4825005,14.48,49.72402461,683991.0,13273593.71,0.66
3,United States,2004,4.8,3716.0,4231.682747,14.75084734,4175.0,6.790206059,96.39671419,1.152707468,38.0,461.0,0.10099999999999998,0.35100000000000003,8.630185532,9.22,5.477656518,4148080.0,58840911.06,0.75
4,China,2005,7.699999999999998,2126.0,2500.26,0.0,2500.0,10.28130878,75.60172011,0.101235495,64.6,297.0,0.0,0.496,16.17502498,16.18,18.20381865,2500466.0,45785223.21,0.09
5,Germany,2005,10.6,539.0,622.575,24.1468,623.0,4.511465998,14.1659172,0.48722748,951.0,1829.0,0.9329999999999999,1.7989999999999997,10.15021111,11.13,6.764551009,615800.0,8626259.145,5.1
6,India,2005,2.8,489.0,704.5093182,0.0,716.0,5.877519466,16.56290826,0.098864125,-0.10000000000000052,1433.8999999999994,0.0,1.4299999999999995,16.61901808,16.62,48.57530875,715656.0,13900527.19,0.87
7,United States,2005,9.2,3811.0,4322.786632,13.35915624,4294.0,6.60173784,96.43731384,1.241083165,79.0,2250.0,0.10299999999999998,2.4239999999999995,8.578465534,9.12,5.841090873,4268887.0,58889188.25,0.85
8,China,2006,9.0,2446.0,2865.726,0.0,2866.0,9.974489412999999,82.8805339,0.14308933599999998,19.0,1010.0,0.08,1.3439999999999996,15.59278342,15.59,17.09461008,2865954.0,49175114.02,0.14
9,Germany,2006,11.1,544.0,639.5665,25.4006,639.0,4.47122845,14.51322843,0.612064345,843.0,2226.0,0.8460000000000001,2.193999999999999,11.32201311,12.26,7.753224656,632732.0,8820320.967,5.74
10,India,2006,4.6,543.0,744.4262522999999,0.0,774.0,5.661849048,17.41017417,0.145510226,3.8,1881.1000000000006,0.0,1.84,17.54042472,17.54,47.44372171,773784.0,14552475.55,1.26
11,United States,2006,23.6,3818.0,4330.951641,13.52413552,4301.0,6.369407404,95.65836227,1.468457098,105.0,2623.0,0.14500000000000002,2.4540000000000006,9.244631183,9.79,6.396513971,4275011.0,58707586.93,1.06
12,China,2007,13.6,2817.0,3281.553,0.0,3282.0,9.446755652,90.08781938,0.196720162,38.80000000000001,2130.0,0.020000000000000004,3.3020000000000014,15.26334714,15.26,15.34937114,3281790.0,52829271.79,0.18
13,Germany,2007,14.7,545.0,640.578,26.5586,641.0,4.099191676,13.89002168,0.7729506759999999,1271.0,1642.0,1.277,1.625,13.93800806,14.87,9.406587903,633663.0,8247962.045,7.05
14,India,2007,5.4,588.0,796.265175,0.0,824.0,5.507649299,18.92910864,0.184961844,-2.0,1529.5,0.0,1.5750000000000002,17.86408569,17.86,45.86780352,823563.0,15352261.19,1.44
